Distritos;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Água Rasa;30;30;30;30;30;30;30;30;30;30
Alto de Pinheiros; - ; - ;0;0;0;0;0;0;0;0
Anhanguera;1.116;1.116;1.116;1.116;1.116;1.116;1.116;1.116;1.116;1.116
Aricanduva;304;304;304;304;304;304;304;304;304;304
Artur Alvim;2.558;2.558;2.178;2.558;2.558;2.558;2.558;2.558;2.558;2.558
Barra Funda;70;122;70;70;70;70;70;70;70;70
Bela Vista; - ; - ;0;0;0;0;0;0;0;0
Belém;600;600;600;600;600;600;600;600;600;600
Bom Retiro; - ; - ;0;375;375;375;375;375;375;375
Brás; - ; - ;0;0;0;0;22;22;22;22
Brasilândia;22.883;22.793;18.807;22.793;22.793;22.793;22.793;22.793;22.793;22.793
Butantã;259;259;214;259;259;259;259;259;259;259
Cachoeirinha;9.355;9.605;8.461;9.605;9.605;9.605;9.605;9.605;10.205;10.205
Cambuci; - ; - ;0;0;0;0;0;0;0;0
Campo Belo;2.499;2.221;1.562;2.221;2.221;2.221;2.221;2.221;2.421;2.421
Campo Grande;1.344;1.434;1.406;1.454;1.454;1.454;1.454;1.454;1.454;1.454
Campo Limpo;15.901;17.046;15.915;17.009;17.009;17.009;17.009;17.009;17.009;17.009
Cangaíba;4.456;4.456;4.706;4.906;4.906;4.906;4.906;4.906;4.906;4.906
Capão Redondo;20.769;21.200;25.542;22.410;21.423;21.423;21.423;21.423;21.423;21.423
Carrão;692;742;742;742;742;742;742;742;742;742
Casa Verde;33;35;35;35;35;35;35;35;35;35
Cidade Ademar;16.221;16.764;20.071;15.625;15.625;15.625;15.625;15.625;15.097;15.097
Cidade Dutra;5.628;5.628;5.768;5.768;5.768;5.768;5.784;5.784;5.814;5.814
Cidade Líder;2.942;2.942;5.767;2.948;2.948;2.948;2.948;2.948;3.428;3.428
Cidade Tiradentes;3.180;3.135;2.570;3.220;3.220;3.220;3.223;3.223;3.223;3.223
Consolação; - ; - ;0;0;0;0;0;0;0;0
Cursino;2.532;2.532;2.482;2.532;2.532;2.532;2.532;2.532;2.532;2.532
Ermelino Matarazzo;3.005;3.005;3.191;3.405;3.405;3.405;3.405;3.405;3.405;3.405
Freguesia do Ó;1.909;1.915;1.865;1.915;1.915;1.915;1.915;1.915;1.927;1.927
Grajaú;17.289;17.289;17.778;17.289;17.289;17.289;17.289;17.289;19.789;19.789
Guaianases;811;1.011;1.061;1.061;1.061;1.061;1.061;1.061;1.061;1.061
Iguatemi;3.456;3.456;4.101;3.456;3.456;3.456;3.456;3.456;3.456;3.456
Ipiranga;1.338;1.338;1.338;1.338;1.338;1.338;1.338;1.338;1.338;1.338
Itaim Bibi;285;325;325;325;325;325;325;325;325;325
Itaim Paulista;4.799;4.799;4.479;4.808;4.688;4.808;4.808;4.688;4.878;4.878
Itaquera;3.045;3.045;2.241;4.146;4.146;4.146;4.146;4.146;4.146;4.146
Jabaquara;13.576;13.414;12.422;13.414;13.414;13.414;13.414;13.414;13.214;13.214
Jaçanã;1.816;1.816;2.116;2.116;2.116;2.116;2.546;2.546;2.246;2.246
Jaguara;217;217;217;217;217;217;217;217;217;217
Jaguaré;1.656;1.437;1.524;1.524;1.524;1.524;1.655;1.655;1.713;1.713
Jaraguá;9.045;10.245;12.931;9.445;9.445;9.445;9.445;9.445;9.445;9.445
Jardim Ângela;19.465;19.455;16.883;22.447;22.447;22.454;22.454;22.454;22.454;22.454
Jardim Helena;5.208;5.208;5.248;5.248;5.248;5.248;5.248;5.248;5.248;5.248
Jardim Paulista; - ; - ;0;0;0;0;0;0;0;0
Jardim São Luís;20.741;20.811;19.857;19.903;20.890;20.893;21.073;21.073;21.112;21.112
José Bonifácio;571;591;632;592;592;592;592;592;992;992
Lajeado;4.852;4.993;3.930;3.993;3.993;3.993;3.993;3.993;3.993;3.993
Lapa;280;130;130;130;130;130;130;130;130;130
Liberdade;88;88;88;88;88;88;88;88;88;88
Limão;1.542;2.161;2.511;2.161;2.161;2.161;2.161;2.161;2.161;2.161
Mandaqui;1.188;1.188;2.532;1.188;1.188;1.188;1.188;1.188;1.188;1.188
Marsilac;73;73;73;73;73;73;73;73;73;73
Moema; - ; - ;0;0;0;0;0;0;0;0
Mooca;50;50;50;50;50;50;50;50;50;50
Morumbi;2.513;2.533;2.563;2.563;2.563;2.563;2.563;2.687;2.687;2.687
Parelheiros;4.027;4.027;3.538;4.027;4.027;4.027;4.027;4.027;4.027;4.027
Pari;130;130;130;130;130;130;130;130;130;130
Parque do Carmo;3.592;3.657;2.707;3.907;3.907;3.907;3.907;3.907;3.473;3.473
Pedreira;8.846;8.846;7.338;9.843;9.843;9.843;9.843;9.843;10.371;10.371
Penha;2.626;2.618;2.748;2.748;2.748;2.748;2.748;2.748;2.748;2.748
Perdizes; - ; - ;0;0;0;0;0;0;0;0
Perus;2.975;2.975;2.975;2.975;2.975;2.975;2.975;2.975;2.975;2.975
Pinheiros;22;22;22;22;22;22;22;22;22;22
Pirituba;3.999;4.001;3.905;4.001;4.001;4.001;4.001;4.001;4.001;4.001
Ponte Rasa;1.018;1.018;1.032;1.018;1.018;1.018;1.018;1.018;1.018;1.018
Raposo Tavares;4.021;3.976;3.996;4.030;4.030;4.030;3.934;3.934;3.914;3.914
República; - ; - ;0;0;0;0;0;0;0;0
Rio Pequeno;8.501;8.501;8.507;8.498;8.498;8.513;8.513;8.513;8.513;8.513
Sacomã;22.240;22.240;22.290;22.240;22.240;22.240;22.240;22.240;22.325;22.325
Santa Cecília;375;375;375;0;0;0;0;0;0;0
Santana;96;96;96;96;96;96;96;96;96;96
Santo Amaro;44;44;44;44;44;44;44;44;44;44
São Domingos;3.596;3.596;3.692;3.596;3.596;3.596;3.596;3.596;3.596;3.596
São Lucas;2.165;2.165;2.165;2.165;2.165;2.165;2.165;2.165;2.195;2.195
São Mateus;4.088;4.063;3.153;3.153;3.153;3.153;3.153;3.153;3.203;3.203
São Miguel;797;825;825;825;825;825;825;825;825;825
São Rafael;19.711;3.989;4.469;4.869;4.869;4.869;4.869;4.869;4.889;4.889
Sapopemba;18.253;18.253;18.273;18.273;18.273;18.273;18.273;18.273;18.223;18.223
Saúde;503;503;503;503;503;503;503;503;503;503
Sé; - ; - ;0;0;0;0;0;0;0;0
Socorro;769;769;769;769;769;769;769;769;769;769
Tatuapé;412;412;412;355;355;355;355;355;535;535
Tremembé;7.829;7.829;7.629;7.659;7.659;7.659;7.661;7.661;7.961;7.961
Tucuruvi;240;240;240;240;240;240;240;240;240;240
Vila Andrade;20.246;20.045;20.595;20.064;20.064;20.064;20.064;20.064;22.264;22.264
Vila Curuçá;3.276;3.176;3.639;3.256;3.376;3.256;3.256;3.376;3.256;3.256
Vila Formosa;292;292;292;292;292;292;292;292;292;292
Vila Guilherme;406;406;406;406;406;406;406;406;406;406
Vila Jacuí;1.682;1.682;2.348;2.348;2.348;2.348;2.348;2.348;2.348;2.348
Vila Leopoldina;753;753;753;753;753;753;753;753;753;753
Vila Maria;4.992;4.992;4.992;4.992;4.992;4.992;4.992;4.992;6.640;6.640
Vila Mariana;474;474;474;474;474;474;474;474;474;474
Vila Matilde;225;225;225;225;225;225;225;225;225;225
Vila Medeiros;1.204;1.204;1.204;1.204;1.204;1.204;1.204;1.204;1.204;1.204
Vila Prudente;1.960;1.960;1.960;1.960;1.960;1.960;1.960;1.960;1.960;1.960
Vila Sônia;9.625;9.625;9.653;9.608;9.608;9.608;9.608;9.608;9.628;9.628
