Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;Ignorado
MSP;4.448.293;6.865;90.238;839.470;986.917;957.148;432.857;248.884;276.670;207.511;163.843;72.215;95.596;70.079
Água Rasa;30.083;24;552;5.623;8.242;10.238;2.388;1.136;878;414;168;44;41;335
Alto de Pinheiros;23.913;42;474;3.267;4.905;5.318;2.461;1.553;1.718;1.354;1.149;490;767;415
Anhanguera;8.354;2;64;956;2.026;2.435;1.241;677;451;197;83;25;31;166
Aricanduva;23.610;31;341;6.645;7.385;4.621;1.756;760;642;331;257;123;319;399
Artur Alvim;13.022;25;265;3.051;3.631;2.795;1.205;740;383;312;232;61;86;236
Barra Funda;89.932;99;1.775;14.890;16.468;20.675;10.463;5.870;6.291;4.899;4.007;1.487;1.576;1.432
Bela Vista;135.937;147;1.686;18.084;20.580;31.614;15.310;10.393;11.853;9.043;7.443;3.097;4.652;2.035
Belém;54.060;41;2.336;14.866;13.056;10.361;4.294;2.540;2.755;1.477;769;282;311;972
Bom Retiro;61.542;67;1.435;13.999;17.987;13.159;5.761;2.744;2.390;1.358;802;302;503;1.035
Brás;56.465;34;1.004;15.029;17.384;10.860;4.352;2.083;2.215;1.404;873;300;222;705
Brasilândia;11.921;9;195;3.479;3.646;3.093;753;267;188;99;39;7;13;133
Butantã;63.738;49;829;8.653;10.458;12.723;5.321;3.788;4.960;4.803;5.065;2.477;3.509;1.103
Cachoeirinha;13.835;25;218;3.282;4.298;2.673;864;440;485;346;546;214;285;159
Cambuci;42.241;73;554;11.219;10.117;9.034;4.105;1.992;2.049;1.247;646;245;212;748
Campo Belo;73.084;67;1.028;12.157;16.726;13.266;5.678;3.442;6.623;6.149;2.724;1.756;2.263;1.205
Campo Grande;79.216;122;2.958;15.567;15.919;15.074;7.786;4.169;4.896;4.364;3.736;1.442;1.596;1.587
Campo Limpo;20.085;22;384;4.654;6.606;4.817;1.877;622;464;198;115;28;30;268
Cangaíba;11.187;13;134;2.933;3.896;2.426;810;365;256;128;49;24;26;127
Capão Redondo;23.855;56;421;4.787;7.623;5.862;2.692;704;580;402;191;122;51;364
Carrão;27.264;23;535;7.316;7.594;5.989;2.267;1.102;978;548;344;78;82;408
Casa Verde;32.386;35;566;5.877;8.938;7.714;2.963;1.588;1.861;1.110;720;279;269;466
Cidade Ademar;23.501;21;321;5.662;8.133;5.486;1.740;770;662;232;103;26;19;326
Cidade Dutra;29.607;31;495;7.874;7.654;7.402;2.164;1.091;1.063;556;498;152;141;486
