Unidades Territoriais;Faixa de Rendimento em Salários Mínimos 2015;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;
MSP;4276399;6918;85857;826067;950554;900411;412095;231039;260929;200574;161457;70294;96965;73240
Água Rasa;31054;23;519;5137;8546;11779;2221;972;785;395;192;65;45;375
Alto de Pinheiros;26163;49;402;3269;5371;5166;2790;2049;2069;1543;1477;637;974;367
Anhanguera;7419;5;87;861;1840;2332;1193;488;276;137;53;24;25;98
Aricanduva;23002;37;359;6696;7670;4541;1683;630;563;268;104;20;21;410
Artur Alvim;11820;20;281;3035;3184;2700;1321;648;217;135;47;11;14;207
Barra Funda;91980;87;3215;17804;16904;19997;9522;5354;5813;4564;3946;1470;1491;1813
Bela Vista;137516;128;1785;17422;21621;31494;14983;10455;12080;9666;7820;3148;4786;2128
Belém;49813;41;1950;14027;12136;9507;3928;2281;2430;1411;747;236;258;861
Bom Retiro;55716;66;1157;13897;15866;11023;5385;2411;2119;1280;723;284;482;1023
Brás;51510;53;1049;16317;13693;9525;3833;1858;1901;1388;760;281;195;657
Brasilândia;11599;10;175;3439;3564;3030;723;227;163;91;38;8;11;120
Butantã;56409;58;736;7043;10058;11409;4515;3244;4354;4062;4716;2211;3153;850
Cachoeirinha;13867;17;258;3817;4159;2485;940;380;416;303;479;238;221;154
Cambuci;39337;58;442;10295;9204;8209;3747;2172;1915;1240;815;273;245;722
Campo Belo;71003;183;1056;12433;15141;12340;5365;3465;6338;5300;3115;1825;2393;2049
Campo Grande;75636;130;2240;16229;15590;14469;7073;3649;4289;4068;3435;1335;1521;1608
Campo Limpo;20374;10;301;4635;6938;5081;1847;584;414;197;96;27;35;209
Cangaíba;11019;8;119;3037;3764;2462;774;304;246;102;49;20;21;113
Capão Redondo;22176;53;367;4778;6837;5593;2443;673;518;312;155;40;40;367
Carrão;28320;36;626;8402;7513;5914;2232;1051;1014;608;353;101;102;368
Casa Verde;30948;40;459;5530;8315;6713;2942;1668;1902;1261;916;314;321;567
Cidade Ademar;21848;21;269;5367;7539;5022;1608;704;587;225;109;26;33;338
Cidade Dutra;30313;28;504;8290;8691;6032;2423;1009;1122;558;716;172;229;539
Cidade Líder;17250;14;476;4119;5788;3705;1253;564;520;290;159;49;72;241
Cidade Tiradentes;8024;7;112;1983;2317;1731;796;297;294;229;92;42;36;88
Consolação;100201;285;1603;12557;16243;22291;12303;6556;8809;7115;4947;2385;2835;2272
Cursino;25170;50;650;4850;6810;5799;2475;1257;1174;600;476;206;216;607
Ermelino Matarazzo;13049;20;223;3008;3940;2580;1064;527;645;336;354;119;50;183
Freguesia do Ó;31449;40;682;6138;9937;7345;2610;1510;1315;620;485;101;137;529
Grajaú;17465;6;206;4723;5597;3757;1926;322;303;146;86;51;46;296
Guaianases;7055;11;125;2262;2197;1673;362;142;120;60;32;5;5;61
Iguatemi;7140;8;101;1780;2448;1832;509;196;133;40;7;3;3;80
Ipiranga;63749;59;1084;15341;17668;13327;6404;3061;2932;1662;809;245;255;902
Itaim Bibi;339749;419;4617;40537;50493;64141;32319;21286;29531;28383;27465;12835;22552;5171
Itaim Paulista;20745;57;357;4612;6531;4338;2250;1020;357;219;115;50;43;796
Itaquera;27990;19;373;5582;8454;5829;2330;995;1588;883;984;283;294;376
Jabaquara;67689;127;1241;12140;14578;13033;6521;3275;4507;4770;3972;1426;1051;1048
Jaçanã;15318;20;310;3146;5336;3411;1392;525;529;234;98;30;27;260
Jaguara;24931;22;297;2185;3902;6068;3196;2477;1984;1449;1293;702;736;620
Jaguaré;35082;46;590;4966;7262;10115;3741;2305;1822;1206;988;518;730;793
Jaraguá;17333;21;206;3221;4144;3893;1712;1058;928;620;631;280;353;266
Jardim Ângela;14143;8;178;3410;4471;3124;1368;630;304;181;97;57;69;246
Jardim Helena;7242;17;151;1853;2249;1539;538;240;210;155;88;31;75;96
Jardim Paulista;166688;290;2298;18913;25945;34007;17503;9699;14524;12878;11566;6229;10769;2067
Jardim São Luís;40492;56;627;7782;9896;8362;3835;1746;2280;1760;1649;751;911;837
José Bonifácio;11954;18;271;2138;3134;3807;1128;482;491;186;104;15;15;165
Lajeado;9769;21;147;2667;3128;2536;546;211;184;103;52;26;19;129
Lapa;124355;160;3642;30182;27569;26754;10538;5743;6029;4151;3404;1530;1649;3004
Liberdade;51980;73;1331;7235;9971;10412;6889;4153;4455;3221;1839;578;634;1189
Limão;25459;33;407;4032;6577;6440;2962;1507;1462;805;465;159;184;426
Mandaqui;19056;51;647;5388;4900;4770;1406;625;518;261;147;63;88;192
Marsilac;125;0;1;35;25;39;13;5;2;2;0;1;0;2
Moema;92229;111;1149;15578;19752;19671;10726;6242;6597;4890;3331;1302;1409;1471
Moóca;64564;112;1732;14521;15580;14375;6969;3577;3056;1884;1170;382;318;888
Morumbi;48000;103;661;5165;8264;8090;5160;3938;4895;4150;3310;1445;2182;637
Parelheiros;6743;6;181;1627;2175;1561;456;218;161;72;71;15;49;151
Pari;25724;17;265;6026;7093;4842;2185;1276;1139;951;1063;302;204;361
Parque do Carmo;18001;22;793;4622;3635;3605;2430;727;811;483;288;92;66;427
Pedreira;8541;7;148;1976;2623;2055;946;260;195;91;53;20;21;146
Penha;41175;45;857;11280;10669;9585;3665;1872;1200;658;343;110;171;720
Perdizes;50562;95;723;7504;10688;11045;5575;3444;4594;3096;1480;722;657;939
Perus;5251;4;50;1626;1633;1191;397;111;75;43;14;4;7;96
Pinheiros;129710;260;2767;20145;23536;22371;13294;8809;10892;9294;7761;3260;5001;2320
Pirituba;23599;22;543;5486;7194;5340;2076;955;832;430;242;69;70;340
Ponte Rasa;9419;11;213;2728;2898;2222;644;230;213;56;40;16;23;125
Raposo Tavares;17087;9;358;2676;4757;4538;1475;1115;827;486;306;119;135;286
República;159271;252;8707;39757;33986;33981;13672;6869;7479;5280;3916;1358;1624;2390
Rio Pequeno;17158;13;222;3931;5009;3681;1526;721;757;499;368;101;124;206
Sacomã;37358;31;491;5641;9973;8892;5486;2114;1774;989;767;289;243;668
Santa Cecília;67012;71;865;10591;12675;19032;7618;4227;4376;2840;2085;838;721;1073
Santana;72417;103;1963;18155;18394;15381;6265;3107;3369;1948;1261;638;707;1126
Santo Amaro;155810;182;3811;24374;26610;23014;13611;9541;12033;12321;12131;6351;9104;2727
São Domingos;25727;28;287;3726;7150;5813;2591;1539;1523;991;901;405;390;383
São Lucas;19252;17;173;4794;5756;4757;1604;672;594;278;169;50;64;324
São Mateus;25658;41;333;6070;7324;5858;2372;1076;1107;635;308;110;104;320
São Miguel ;15387;42;308;5258;4282;2751;947;577;518;313;133;37;28;193
São Rafael;6647;3;121;2082;2169;1481;415;146;96;28;13;8;5;80
Sapopemba;28363;14;407;8526;8380;6146;2139;818;928;313;269;66;45;312
Saúde;87164;252;1454;21032;20006;18906;7782;4107;4635;3121;2273;861;963;1772
Sé;94839;162;2549;21271;18279;14236;8160;5474;8263;6717;4786;1770;1995;1177
Socorro;33871;18;328;4651;8203;7897;3510;2074;1993;1434;1380;813;880;690
Tatuapé;76188;147;2109;19426;18113;17489;6316;3427;3243;1908;1139;374;299;2198
Tremembé;24325;50;374;3680;5910;6962;2933;2203;839;325;224;75;108;642
Tucuruvi;22322;25;380;6314;6707;4537;1808;869;793;347;197;53;44;248
Vila Andrade;27885;53;621;5120;7362;5943;2760;1530;1534;1003;778;348;364;469
Vila Curuçá;8583;9;240;2829;3132;1608;413;129;85;29;10;1;2;96
Vila Formosa;34431;537;1069;11571;8977;6320;2579;1193;969;481;206;59;50;420
Vila Guilherme;48755;117;1108;10121;11446;13810;4403;2405;2245;1041;621;231;306;901
Vila Jacuí;11317;14;193;2461;3293;3094;872;412;340;194;154;58;88;144
Vila Leopoldina;61771;231;857;10548;12097;12093;6303;4151;4744;3657;3354;1369;1506;861
Vila Maria;53313;126;767;8699;13199;13813;6587;3345;2710;1401;864;317;336;1150
Vila Mariana;162214;165;1947;26131;31435;30184;18666;11176;13232;10576;7953;3294;4533;2922
Vila Matilde;26267;60;422;6328;7320;5238;1786;1100;1276;843;623;302;576;393
Vila Medeiros;18366;28;435;5970;4549;3909;1343;559;577;309;231;60;77;319
Vila Prudente;31886;71;879;7440;8465;7531;2987;1385;1314;706;356;120;162;470
Vila Sônia;33729;33;504;6754;9748;7645;3276;1519;1532;911;684;299;323;501
