Unidades Territoriais;Faixa de Rendimento em Salários Mínimos 2017;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;IGNORADO
MSP;4.101.241;7.926;94.157;868.936;902.723;842.335;386.927;216.278;243.943;187.563;143.843;60.860;77.061;68.689
Água Rasa;31.373;34;506;6.510;7.993;11.457;2.108;938;818;309;143;53;28;476
Alto de Pinheiros;23.959;60;378;4.050;5.392;5.088;2.449;1.486;1.452;1.319;981;428;563;313
Anhanguera;6.816;6;81;1.002;1.592;1.953;968;519;271;168;59;23;29;145
Aricanduva;22.078;27;383;7.056;7.329;4.173;1.498;555;473;187;59;15;7;316
Artur Alvim;13.231;23;388;3.088;2.806;2.626;1.568;730;585;508;389;93;155;272
Barra Funda;84.482;118;2.336;18.029;16.098;15.780;8.414;5.422;5.761;4.656;3.729;1.403;1.353;1.383
Bela Vista;124.543;155;1.940;16.847;18.545;27.722;13.651;9.733;11.514;8.994;6.580;2.713;4.168;1.981
Belém;53.165;97;2.558;18.059;11.924;8.949;3.661;2.175;2.282;1.391;728;248;286;807
Bom Retiro;52.248;111;1.205;14.224;14.854;10.457;4.465;1.971;1.778;1.060;620;212;415;876
Brás;52.299;115;2.462;16.295;13.223;8.710;3.573;1.847;2.213;1.554;673;244;159;1.231
Brasilândia;10.521;13;175;3.406;3.236;2.623;567;198;108;38;18;5;2;132
Butantã;51.763;56;583;7.307;9.762;10.798;3.848;2.883;3.667;3.558;3.840;1.907;2.363;1.191
Cachoeirinha;14.458;26;538;4.070;4.056;2.872;789;399;362;291;451;197;189;218
Cambuci;40.840;71;402;10.237;8.402;7.393;3.350;1.935;2.425;1.964;2.161;1.207;622;671
Campo Belo;62.614;88;1.065;12.114;13.846;11.079;4.836;3.070;5.707;4.291;2.346;1.049;1.844;1.279
Campo Grande;61.680;203;2.364;12.726;13.671;11.755;5.570;2.931;3.385;3.286;2.438;812;1.030;1.509
Campo Limpo;24.570;33;422;6.839;7.544;5.489;1.974;760;689;375;151;24;44;226
Cangaíba;10.835;18;143;3.085;3.699;2.503;654;246;190;84;33;20;20;140
Capão Redondo;21.610;57;390;5.138;6.590;5.646;1.862;568;414;300;115;33;20;477
Carrão;26.183;122;625;8.512;6.990;5.385;1.919;854;788;346;161;45;28;408
Casa Verde;32.195;43;429;6.305;8.647;6.391;3.273;1.531;1.972;1.291;974;443;284;612
Cidade Ademar;19.292;23;227;5.320;6.236;4.315;1.469;591;489;187;94;25;20;296
Cidade Dutra;28.668;55;831;9.628;8.086;5.282;1.687;806;826;414;363;90;65;535
Cidade Líder;19.764;39;683;5.382;5.494;4.037;1.550;702;652;492;273;107;111;242
Cidade Tiradentes;7.106;19;189;2.152;1.772;1.691;629;113;185;141;82;39;30;64
Consolação;93.850;253;1.746;13.152;15.014;19.269;12.711;6.065;8.005;6.651;4.219;2.150;2.401;2.214
Cursino;21.816;66;613;4.822;5.829;4.674;1.958;1.031;982;517;424;182;217;501
Ermelino Matarazzo;13.000;16;234;3.429;3.614;2.606;940;573;617;322;328;106;27;188
Freguesia do Ó;28.484;32;761;6.274;8.560;6.436;2.330;1.171;985;569;622;130;110;504
Grajaú;17.417;63;382;4.934;5.415;3.579;1.816;315;301;126;68;24;36;358
Guaianases;7.233;9;138;2.409;1.897;1.893;390;165;129;60;33;18;13;79
Iguatemi;6.452;14;88;1.883;2.170;1.600;353;126;80;26;16;5;5;86
Ipiranga;72.167;79;1.639;17.017;16.065;12.372;6.290;4.144;5.124;3.858;2.782;973;854;970
Itaim Bibi;310.375;519;5.476;39.456;47.400;59.662;30.185;19.428;26.195;26.111;22.476;10.636;18.445;4.386
Itaim Paulista;22.520;52;464;5.744;7.005;4.546;2.262;937;372;211;110;51;28;738
Itaquera;22.966;21;571;6.602;6.436;4.224;1.497;824;940;700;529;188;164;270
Jabaquara;65.875;130;1.280;16.225;14.603;12.545;5.423;2.575;3.785;4.077;2.554;1.010;715;953
Jaçanã;14.399;19;353;3.152;4.621;3.422;1.383;511;422;189;87;26;19;195
Jaguara;21.431;26;209;2.332;3.766;5.340;2.830;1.872;1.307;1.038;1.052;570;532;557
Jaguaré;39.805;40;838;7.219;8.366;10.440;4.026;2.200;1.838;1.277;1.067;524;811;1.159
Jaraguá;17.287;38;300;3.457;3.985;4.641;1.848;724;683;409;503;214;252;233
Jardim Ângela;13.935;11;227;3.897;4.041;3.045;1.262;481;339;177;95;49;50;261
Jardim Helena;6.616;20;151;1.970;1.925;1.233;372;190;209;155;115;50;139;87
Jardim Paulista;118.086;265;2.193;15.838;21.773;28.047;14.045;8.163;9.638;7.353;4.704;1.968;2.556;1.543
Jardim São Luís;42.541;55;702;9.124;9.231;7.782;3.884;2.017;2.707;2.522;1.909;906;923;779
José Bonifácio;10.932;28;270;2.324;3.616;2.656;866;362;390;189;70;12;12;137
Lajeado;11.462;13;232;3.306;3.151;2.593;678;397;338;290;185;69;66;144
Lapa;108.451;191;2.768;28.470;23.081;23.392;9.126;5.077;5.029;3.520;2.804;1.223;1.319;2.451
Liberdade;53.014;73;1.593;7.622;9.776;10.223;7.254;4.016;4.915;3.402;1.803;519;641;1.177
Limão;22.348;33;345;3.612;5.764;5.826;2.616;1.269;1.177;645;348;128;131;454
Mandaqui;15.275;22;354;3.929;4.678;3.595;1.166;481;457;197;114;46;56;180
Marsilac;168;0;16;63;35;25;17;7;1;1;0;0;0;3
Moema;86.927;119;1.537;16.840;19.116;19.132;10.050;5.340;5.312;3.904;2.414;947;862;1.354
Moóca;59.862;101;1.338;13.851;14.387;13.714;6.277;3.250;2.868;1.649;977;349;246;855
Morumbi;52.696;91;819;6.656;9.887;8.623;6.058;4.201;4.824;4.256;3.140;1.461;2.127;553
Parelheiros;6.916;18;243;1.796;2.028;1.543;471;258;191;87;57;21;47;156
Pari;26.053;56;336;6.338;6.880;4.529;1.976;1.230;1.123;1.045;1.603;418;166;353
Parque do Carmo;24.790;31;834;5.638;5.710;5.002;2.909;753;1.475;713;750;209;286;480
Pedreira;8.197;4;139;1.952;2.030;2.541;759;222;169;103;65;16;19;178
Penha;35.621;49;940;8.696;8.979;7.530;3.619;1.634;1.395;880;570;225;373;731
Perdizes;43.488;78;567;7.232;9.012;9.360;5.243;3.047;3.890;2.465;972;443;306;873
Perus;4.876;6;64;1.626;1.513;1.137;292;96;45;22;14;1;4;56
Pinheiros;127.818;324;2.590;20.093;23.080;22.766;12.889;8.586;11.121;9.177;7.402;3.142;4.437;2.211
Pirituba;22.952;30;581;5.842;6.815;5.159;1.747;737;675;384;355;147;142;338
Ponte Rasa;9.200;48;212;2.978;2.913;1.758;492;193;124;45;19;5;4;409
Raposo Tavares;14.920;5;208;2.684;4.148;3.970;1.397;857;657;360;217;67;111;239
República;135.092;353;8.690;33.820;28.138;29.617;11.547;5.755;5.845;4.027;3.019;1.039;1.151;2.091
Rio Pequeno;14.929;12;236;3.854;4.189;3.259;1.311;611;557;338;207;58;54;243
Sacomã;36.988;56;489;6.236;10.497;8.354;5.139;1.787;1.771;996;713;193;121;636
Santana;73.822;143;2.441;19.618;18.096;16.380;6.003;2.805;3.168;1.740;1.121;512;511;1.284
Santo Amaro;158.674;303;4.568;25.791;26.332;24.418;13.733;9.613;12.222;12.713;12.578;6.097;7.942;2.364
São Domingos;26.265;45;371;4.726;7.163;5.943;2.640;1.490;1.167;831;798;387;347;357
São Lucas;19.041;21;170;5.234;6.230;4.052;1.461;617;489;241;117;48;50;311
São Mateus;24.662;35;416;6.545;7.173;5.543;2.141;892;860;489;165;60;58;285
São Miguel ;15.274;23;326;5.556;4.138;2.812;994;534;354;207;86;15;15;214
São Rafael;6.955;4;118;1.881;2.141;1.532;534;192;189;134;95;51;20;64
Sapopemba;21.090;22;264;5.456;6.521;4.978;1.553;497;714;360;376;91;24;234
Sapopemba;21.090;22;264;5.456;6.521;4.978;1.553;497;714;360;376;91;24;234
Saúde;79.678;166;1.830;22.043;18.376;15.639;6.534;3.685;3.538;2.589;2.066;914;842;1.456
Sé;94.011;205;2.537;21.754;19.527;14.134;8.005;5.539;7.783;6.149;4.188;1.432;1.667;1.091
Socorro;36.157;44;297;4.757;8.900;9.339;3.896;1.858;1.880;1.312;1.680;722;794;678
Tatuapé;95.038;120;2.646;22.669;18.147;18.068;8.794;5.989;6.215;4.346;3.296;1.482;1.718;1.548
Tremembé;21.660;21;311;3.715;4.746;6.029;3.064;1.938;694;228;102;52;72;688
Tucuruvi;22.673;56;482;7.207;6.641;4.335;1.686;733;727;336;147;28;32;263
Vila Andrade;27.126;32;614;5.684;7.412;5.580;2.554;1.453;1.324;824;593;278;256;522
Vila Curuçá;8.401;19;286;2.843;2.833;1.686;409;119;76;14;15;4;1;96
Vila Formosa;30.087;575;961;11.290;7.141;5.364;2.208;955;775;320;145;24;22;307
Vila Guilherme;44.150;142;945;10.687;11.231;11.946;3.779;1.616;1.372;729;440;147;219;897
Vila Jacuí;11.662;13;318;3.255;3.309;2.537;865;355;298;228;191;71;77;145
Vila Leopoldina;66.482;147;1.618;13.133;12.493;12.723;6.852;4.259;5.294;3.420;3.140;1.163;1.314;926
Vila Maria;51.057;101;767;10.129;12.767;12.416;6.068;2.906;2.402;1.249;806;321;307;818
Vila Mariana;160.623;244;2.178;28.382;30.609;29.353;18.435;10.761;12.858;10.014;7.884;3.098;3.933;2.874
Vila Matilde;32.825;77;552;10.825;9.262;6.368;1.910;828;964;604;422;201;402;410
Vila Medeiros;17.859;15;444;7.162;4.034;3.421;1.108;486;429;233;166;41;55;265
Vila Prudente;30.470;124;786;7.745;8.356;6.941;2.550;1.239;1.121;643;331;89;93;452
Vila Sônia;32.291;50;581;7.636;8.520;7.434;2.813;1.408;1.384;829;618;292;267;459
