Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;IGNORADO
MSP;4.347.311;11.007;111.057;858.972;921.526;854.950;393.256;227.661;258.463;200.988;151.839;64.526;82.236;210.830
Água Rasa;30.228;57;571;5.846;7.580;9.633;1.778;771;589;272;106;37;23;2.965
Alto de Pinheiros;22.998;28;396;3.886;4.600;4.441;2.448;1.487;1.552;1.241;1.114;419;606;780
Anhanguera;8.069;23;125;1.156;1.903;1.895;1.046;610;434;258;132;39;44;404
Aricanduva;20.763;67;423;4.819;7.576;4.262;1.467;547;466;191;75;11;12;847
Artur Alvim;11.452;42;429;2.787;2.830;1.843;874;516;602;515;359;116;171;368
Barra Funda;88.378;150;3.063;19.110;16.659;14.785;8.370;5.188;6.610;4.965;3.814;1.550;1.668;2.446
Bela Vista;142.669;181;2.416;21.299;21.150;27.422;15.051;10.761;13.077;10.561;7.390;2.812;4.292;6.257
Belém;42.456;113;1.936;10.205;10.145;7.467;3.181;1.760;1.980;1.281;679;226;253;3.230
Bom Retiro;53.107;211;1.203;13.323;13.923;12.327;4.068;1.737;1.719;1.048;618;181;402;2.347
Brás;48.495;75;1.086;14.120;12.936;8.126;3.288;1.940;2.166;1.563;730;257;186;2.022
Brasilândia;11.001;65;261;3.291;3.191;2.892;534;205;117;53;15;3;6;368
Butantã;59.005;66;978;9.939;12.586;9.956;3.955;2.880;3.616;3.748;3.965;1.992;2.236;3.088
Cachoeirinha;12.910;35;408;3.368;3.662;2.637;722;357;310;239;380;197;220;375
Cambuci;42.113;72;439;9.760;8.925;7.024;3.353;2.268;2.690;2.221;2.422;1.113;546;1.280
Campo Belo;60.844;72;1.083;11.016;14.853;11.016;4.595;2.884;4.446;3.253;1.768;1.084;1.275;3.499
Campo Grande;62.235;177;2.033;12.750;13.561;12.413;5.569;2.849;3.348;3.466;2.118;765;878;2.308
Campo Limpo;24.241;48;529;5.059;6.492;5.445;1.666;1.520;947;667;513;144;116;1.095
Cangaíba;10.420;31;159;2.494;3.790;2.240;586;225;173;70;25;7;7;613
Capão Redondo;21.922;82;533;4.734;6.004;5.758;1.984;836;512;322;123;21;23;990
Carrão;31.376;108;1.400;10.991;8.019;5.416;2.047;902;771;364;185;48;52;1.073
Casa Verde;33.284;79;559;5.911;8.251;7.058;3.376;1.697;2.002;1.446;983;429;272;1.221
Cidade Ademar;21.269;29;293;5.551;6.540;4.985;1.438;638;489;197;89;16;19;985
Cidade Dutra;31.251;139;1.518;9.715;8.339;5.642;1.678;812;903;463;353;98;78;1.513
Cidade Líder;17.903;70;736;4.288;4.944;3.520;1.313;621;580;442;274;111;117;887
Cidade Tiradentes;6.842;25;151;1.943;1.668;1.489;618;119;215;133;71;42;26;342
Consolação;82.771;119;1.653;13.031;14.257;15.842;10.004;5.894;6.496;4.761;3.499;1.727;2.019;3.469
Cursino;20.974;89;674;4.121;5.555;4.458;1.782;1.027;878;561;400;301;421;707
Ermelino Matarazzo;12.233;34;238;2.807;3.531;2.589;945;495;570;291;304;95;24;310
Freguesia do Ó;27.051;67;771;5.415;8.418;5.737;2.016;1.130;926;521;644;116;78;1.212
Grajaú;17.286;66;442;4.655;5.199;3.661;1.762;300;258;115;62;23;43;700
Guaianases;7.095;11;150;2.244;1.961;1.785;376;128;125;48;41;9;13;204
Iguatemi;6.660;4;170;1.911;2.154;1.564;355;139;74;30;9;3;7;240
Ipiranga;75.636;113;1.872;15.985;15.933;12.270;5.819;4.487;6.483;4.505;3.260;1.044;955;2.910
Itaim Bibi;345.238;896;6.144;37.077;48.557;58.399;33.513;22.363;31.548;30.586;25.878;12.596;20.988;16.693
Itaim Paulista;22.206;60;519;4.653;6.453;4.081;1.654;1.038;425;181;116;33;27;2.966
Itaquera;29.885;371;1.416;7.969;7.506;5.554;2.014;1.014;1.001;703;575;161;175;1.426
Jabaquara;67.269;198;1.698;11.580;13.395;12.783;5.986;3.181;4.344;4.487;2.973;1.195;892;4.557
Jaçanã;14.965;22;552;3.372;4.931;3.278;1.269;479;333;117;44;8;8;552
Jaguara;25.871;85;279;2.450;4.271;5.985;2.909;2.496;1.624;1.418;1.393;702;847;1.412
Jaguaré;66.072;102;1.320;18.048;12.605;16.410;5.081;2.453;2.133;1.528;1.122;513;819;3.938
Jaraguá;17.243;45;322;3.129;4.068;4.907;1.723;585;540;403;428;269;195;629
Jardim Ângela;14.978;33;327;3.844;4.256;3.393;1.049;648;388;182;100;37;59;662
Jardim Helena;7.179;19;149;1.956;1.857;1.440;381;200;261;191;179;102;275;169
Jardim Paulista;143.583;309;2.515;16.478;22.826;32.733;17.728;10.622;12.060;8.988;6.411;2.613;3.149;7.151
Jardim São Luís;48.648;97;896;9.690;10.319;8.630;3.949;2.222;2.793;3.311;2.459;941;938;2.403
José Bonifácio;24.611;31;582;3.774;5.076;6.357;4.822;953;663;312;181;67;57;1.736
