Unidades Territoriais;Faixa de Rendimento em Salários Mínimos;;;;;;;;;;;;;
;Total;Até 0,50;0,51 a 1,00;1,01 a 1,50;1,51 a 2,00;2,01 a 3,00;3,01 a 4,00;4,01 a 5,00;5,0 a 7,00;7,01 a 10,00;10,01 a 15,00;15,01 a 20,00;Mais de 20,00;IGNORADO
MSP;4.112.367;21.952;252.083;955.805;767.393;701.901;337.530;196.551;228.024;181.554;138.899;58.929;76.894;194.852
Água Rasa;30.842;103;1.618;7.547;6.852;8.379;1.768;731;599;283;99;32;19;2.812
Alto de Pinheiros;20.764;77;932;3.986;3.727;3.648;2.025;1.347;1.417;1.232;862;363;506;642
Anhanguera;8.012;37;442;1.290;1.940;1.659;923;549;397;252;123;41;52;307
Aricanduva;19.642;98;1.137;6.131;5.836;3.318;1.178;446;373;144;52;7;5;917
Artur Alvim;10.529;62;957;2.913;2.110;1.315;711;417;520;463;333;112;133;483
Barra Funda;85.906;563;6.723;21.290;13.564;13.418;7.047;4.538;4.993;4.153;3.385;1.390;1.632;3.210
Bela Vista;129.748;484;5.573;22.982;18.887;22.460;13.221;9.272;11.143;9.113;6.175;2.603;3.881;3.954
Belém;40.819;190;3.038;11.726;8.052;5.938;2.482;1.594;1.653;1.184;592;204;239;3.927
Bom Retiro;47.812;347;3.718;14.589;9.271;9.760;3.121;1.365;1.345;866;530;163;352;2.385
Brás;43.997;97;2.492;16.441;8.941;5.849;2.581;1.493;1.892;1.442;648;225;167;1.729
Brasilândia;11.336;79;1.054;4.276;3.404;1.457;357;155;88;52;17;4;4;389
Butantã;60.686;264;2.730;12.051;11.277;8.400;3.700;2.870;3.401;3.850;3.846;1.955;2.060;4.282
Cachoeirinha;12.594;45;954;3.868;3.181;1.785;509;302;260;194;435;178;225;658
Cambuci;33.698;146;1.320;10.079;7.943;6.171;2.802;1.477;1.331;826;469;149;121;864
Campo Belo;51.490;460;2.786;13.377;10.246;8.355;3.892;2.689;2.924;1.650;1.322;579;726;2.484
Campo Grande;51.053;280;3.604;11.468;9.163;9.017;4.323;2.408;2.875;2.562;1.843;522;663;2.325
Campo Limpo;23.369;84;1.419;6.093;5.640;4.303;1.862;1.067;750;594;446;140;103;868
Cangaíba;9.887;48;660;3.352;3.256;1.449;451;159;123;51;16;10;2;310
Capão Redondo;20.247;133;1.489;5.959;5.036;3.730;1.379;631;372;255;102;19;19;1.123
Carrão;32.806;154;3.437;12.615;7.239;4.722;1.602;724;615;289;137;43;44;1.185
Casa Verde;31.875;190;1.344;6.681;6.704;5.710;2.949;1.603;1.725;1.444;1.114;440;254;1.717
Cidade Ademar;20.340;72;1.548;6.358;5.945;3.232;1.102;490;393;183;68;18;20;911
Cidade Dutra;28.747;145;2.669;10.053;7.329;3.801;1.293;644;670;395;314;79;78;1.277
Cidade Líder;17.316;114;1.931;5.007;3.940;2.700;1.124;537;548;397;276;93;123;526
Cidade Tiradentes;6.814;26;632;2.132;1.701;901;496;128;190;124;65;39;21;359
Consolação;78.688;263;3.120;11.527;11.448;16.149;10.111;5.356;6.595;5.099;3.344;1.612;1.702;2.362
Cursino;19.598;149;1.403;4.857;4.096;3.393;1.439;804;754;552;466;333;459;893
Ermelino Matarazzo;11.753;47;766;3.405;2.846;1.839;737;453;471;298;294;69;18;510
Freguesia do Ó;23.014;92;1.496;6.343;6.503;3.972;1.394;857;687;359;214;53;45;999
Grajaú;17.274;126;1.296;5.452;4.671;2.760;1.363;252;184;102;62;22;38;946
Guaianases;7.019;26;693;2.677;1.922;995;239;81;74;38;20;8;11;235
Iguatemi;7.123;25;449;2.382;2.354;1.081;297;108;58;23;14;5;3;324
Ipiranga;70.401;257;3.595;16.408;12.248;9.641;4.821;4.207;5.885;4.514;3.521;1.064;951;3.289
Itaim Bibi;331.110;1.218;11.610;39.613;42.300;51.708;30.138;21.288;30.752;30.461;27.122;12.634;21.126;11.140
Itaim Paulista;21.886;91;1.378;6.571;6.488;3.422;1.678;586;299;179;101;34;24;1.035
Itaquera;28.717;271;3.388;8.416;6.395;3.894;1.619;809;865;700;553;201;188;1.418
Jabaquara;61.634;491;3.458;14.311;11.320;10.257;4.154;2.418;3.729;3.475;2.026;777;608;4.610
Jaçanã;14.343;57;989;3.861;4.326;2.754;1.029;348;258;91;36;11;6;577
Jaguara;23.790;129;499;2.439;4.274;4.900;2.968;1.640;1.379;1.282;1.209;710;950;1.411
Jaguaré;64.053;505;3.416;18.830;12.926;13.872;4.644;1.932;1.698;1.433;997;449;762;2.589
Jaraguá;15.959;96;964;3.564;3.754;3.777;1.142;471;429;308;384;218;154;698
Jardim Ângela;15.008;94;1.034;4.622;3.656;2.618;1.038;482;364;183;121;69;67;660
Jardim Helena;7.783;27;485;2.569;1.839;868;338;213;234;191;205;144;482;188
Jardim Paulista;145.897;545;6.909;20.635;19.616;29.868;16.084;9.424;11.949;8.686;6.377;2.727;3.132;9.945
Jardim São Luís;42.980;123;2.285;10.081;8.791;6.262;3.422;1.970;2.283;2.845;2.040;833;744;1.301
José Bonifácio;25.490;261;1.392;5.348;6.417;6.064;3.617;733;525;231;133;61;62;646
Lajeado;10.898;44;843;3.115;2.459;1.607;720;447;447;376;238;76;79;447
Lapa;120.180;1.010;11.253;34.560;20.306;20.467;7.974;4.238;4.647;3.535;2.830;1.265;1.411;6.684
Liberdade;43.476;171;2.617;6.991;7.192;7.214;5.668;3.391;3.837;2.533;1.438;560;659;1.205
Limão;21.544;209;1.347;5.018;4.820;4.324;1.794;1.037;927;476;256;102;104;1.130
Mandaqui;17.647;97;1.246;4.302;3.945;2.652;928;489;369;142;65;31;42;3.339
Marsilac;162;1;17;42;41;26;21;4;4;2;0;0;0;4
Moema;93.504;467;5.396;22.529;16.942;17.477;9.338;4.906;5.114;3.533;2.294;846;783;3.879
Moóca;63.708;225;4.127;16.992;12.590;12.498;6.350;2.999;2.838;1.591;791;255;222;2.230
Morumbi;61.019;296;2.467;9.989;10.033;10.416;6.558;4.275;5.105;4.198;3.051;1.334;1.580;1.717
Parelheiros;9.891;67;887;2.937;2.318;1.704;847;361;217;123;53;20;46;311
Pari;20.186;82;1.312;7.732;4.559;3.208;1.025;485;424;209;119;42;42;947
Parque do Carmo;29.234;84;1.756;4.053;6.191;6.132;3.224;772;1.715;850;832;282;314;3.029
Pedreira;9.485;57;660;2.726;2.712;2.248;346;172;95;71;34;7;7;350
Penha;30.977;191;2.270;9.745;7.437;5.121;1.931;940;979;533;250;93;130;1.357
Perdizes;39.140;126;1.734;7.164;6.844;6.797;4.186;2.784;3.605;2.167;1.030;533;396;1.774
Perus;5.910;28;473;2.008;1.740;885;330;103;77;36;15;2;2;211
Pinheiros;139.864;678;7.614;22.373;18.946;22.203;12.322;8.747;11.686;10.274;8.426;3.438;4.798;8.359
Pirituba;22.497;77;1.671;6.840;5.792;3.676;1.313;603;500;308;259;118;87;1.253
Ponte Rasa;12.249;97;807;3.402;2.797;2.637;1.478;452;130;47;11;10;5;376
Raposo Tavares;13.300;44;704;2.961;3.428;3.012;1.227;484;461;265;123;41;72;478
República;130.425;1.596;18.301;35.605;20.567;22.267;7.825;5.082;5.277;3.685;2.714;897;1.095;5.514
Rio Pequeno;14.010;45;861;4.241;3.546;2.125;1.010;560;497;342;224;56;50;453
Sacomã;36.191;126;1.580;7.526;8.938;6.660;4.194;1.397;1.579;1.201;880;304;410;1.396
Santana;75.097;521;6.368;22.211;17.629;12.253;4.794;2.514;2.370;1.315;584;199;143;4.196
Santo Amaro;187.794;953;11.478;37.354;25.604;23.262;13.811;9.868;14.079;14.402;14.159;6.584;9.213;7.027
São Domingos;24.412;132;970;4.762;4.919;4.435;1.751;971;812;584;571;252;274;3.979
São Lucas;19.135;59;989;5.651;5.143;4.004;1.143;505;424;231;131;32;51;772
São Mateus;22.129;89;1.411;6.805;6.081;3.817;1.276;705;701;269;119;37;43;776
São Miguel ;14.368;87;1.257;5.266;3.358;2.189;646;399;300;173;72;20;15;586
São Rafael;8.068;24;477;2.182;2.256;1.381;532;186;221;170;104;71;23;441
Sapopemba;21.371;55;1.158;5.742;5.976;4.048;1.550;524;780;604;275;89;36;534
Sapopemba;21.371;55;1.158;5.742;5.976;4.048;1.550;524;780;604;275;89;36;534
Saúde;72.325;860;4.624;19.056;14.176;11.810;5.475;3.073;3.097;2.518;1.986;762;754;4.134
Sé;92.802;335;6.637;21.537;14.007;12.351;7.044;5.198;7.852;5.886;3.928;1.414;1.634;4.979
Socorro;35.498;119;1.038;6.269;8.205;6.775;3.617;1.771;1.794;1.444;1.508;846;682;1.430
Tatuapé;85.286;719;8.369;29.418;17.066;11.966;5.347;2.922;2.850;1.678;828;247;237;3.639
Tremembé;20.121;77;857;4.073;3.987;5.342;2.974;1.038;493;185;86;37;67;905
Tucuruvi;22.633;151;1.843;8.016;5.109;3.480;1.426;592;614;339;149;39;29;846
Vila Andrade;24.410;88;1.314;6.497;5.506;4.511;2.002;1.093;956;635;469;206;228;905
Vila Curuçá;9.576;64;651;3.935;2.621;1.371;339;98;49;17;8;2;4;417
Vila Formosa;39.828;275;2.507;9.711;5.220;5.794;3.152;2.466;2.574;1.984;1.519;754;1.065;2.807
Vila Guilherme;40.414;349;2.355;11.532;8.654;7.708;2.697;1.402;1.284;824;518;184;281;2.626
Vila Jacuí;11.217;63;935;3.112;3.108;2.079;738;275;231;181;151;48;38;258
Vila Leopoldina;62.965;209;2.488;11.942;10.576;11.488;6.048;3.958;4.495;3.477;2.990;983;1.247;3.064
Vila Maria;54.930;245;2.426;12.549;11.601;11.391;5.077;2.506;2.070;1.198;657;284;291;4.635
Vila Mariana;140.892;457;4.609;23.467;23.175;25.327;15.689;9.976;11.432;8.959;6.447;2.929;3.895;4.530
Vila Matilde;36.109;247;2.372;12.718;8.192;6.154;1.687;738;926;574;424;199;399;1.479
