Dado;DISTRITO;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Idade média ao morrer ;Água Rasa;73;73,61;73,1;76,37;73,54;75,64;75,1;73,4;76;77;
Idade média ao morrer ;Alto de Pinheiros;78,45;79,67;77,7;81,49;79,09;81,06;80,9;79,4;81;82;
Idade média ao morrer ;Anhanguera;52,91;54,39;56,4;58,73;58,87;60,29;58,6;61,5;59;58;
Idade média ao morrer ;Aricanduva;69,63;68,91;69,7;71,16;70,51;70,66;70,5;69,3;72;71;
Idade média ao morrer ;Artur Alvim;67,14;66,05;66,8;69,31;68,86;69,91;68,6;68,6;72;70;
Idade média ao morrer ;Barra Funda;77,49;70,73;74,4;76,3;73,67;72,96;73,6;75,9;76;73;
Idade média ao morrer ;Bela Vista;72,26;73,73;74,1;75,12;73,06;71,83;74,1;73,9;76;72;
Idade média ao morrer ;Belém;71;69,12;71,7;73,83;69,95;70,24;70,5;68,0;73;70;
Idade média ao morrer ;Bom Retiro;67,11;69,34;68,8;70,82;68,26;68,3;69,3;67,4;71;70;
Idade média ao morrer ;Brás;61,19;62,6;66,6;67,84;65,42;61,22;64,3;61,7;62;61;
Idade média ao morrer ;Brasilândia;59,35;58,43;60,7;62,57;60,01;60,53;62,3;62,8;65;64;
Idade média ao morrer ;Butantã;72,926;72,029;74,14;75,876;72,257;76,65;76,7;76,8;78;79;
Idade média ao morrer ;Cachoeirinha;61,5;61,34;63,2;65,35;63,01;63,84;65,1;63,7;66;66;
Idade média ao morrer ;Cambuci;73,29;72,16;74,8;75,2;71,57;73,77;72,8;72,8;73;73;
Idade média ao morrer ;Campo Belo;77,07;75,14;77,3;78,2;76,3;78,18;77,8;77,9;80;79;
Idade média ao morrer ;Campo Grande;69,64;70,18;72,1;73,12;72,16;71,12;71,8;71,6;74;73;
Idade média ao morrer ;Campo Limpo;59,09;60,675;61,016665;63,973335;62,985;62,51;63,5;63,4;67;64;
Idade média ao morrer ;Cangaíba;64,37;66,12;65,8;68,99;67,23;66,94;67,3;66,2;70;69;
Idade média ao morrer ;Capão Redondo;58,3;58,45;59,7;62,98;60,4;61,71;62,5;62,8;65;63;
Idade média ao morrer ;Carrão;72,13;72,9;73,5;75,66;73,75;74,19;74,4;73,4;76;76;
Idade média ao morrer ;Casa Verde;70,95;71,17;70,5;72,9;71,63;70,83;72,3;71,3;73;73;
Idade média ao morrer ;Cidade Ademar;62,6;62,555;62,75;64,6775;64,095;65,59;65,4;65,4;68;65;
Idade média ao morrer ;Cidade Dutra;65,36;63,13;65,2;67,14;65,34;65,37;66,5;66,1;68;68;
Idade média ao morrer ;Cidade Líder;63,88;62,94;63,7;66,33;65,15;64,47;64,7;64,6;68;67;
Idade média ao morrer ;Cidade Tiradentes;54,05;53,85;57,3;58,45;57,31;58,47;58,3;59,4;61;60;
Idade média ao morrer ;Consolação;76,44;76,73;78,9;81,4;79,43;79,16;78,6;78,1;81;79;
Idade média ao morrer ;Cursino;70,82;72,48;72;75,57;72,73;73,25;74,7;73,6;75;72;
Idade média ao morrer ;Ermelino Matarazzo;65,3;64,695;64,8;66,4925;66,115;64,94;65;65,1;68;67;
Idade média ao morrer ;Freguesia do Ó;69,18;68,68;67,5;71,91;69,58;69,9;69,6;69,6;72;71;
Idade média ao morrer ;Grajaú;56,18;56;58,2;59,2;58,64;59,47;60,4;60,4;62;62;
Idade média ao morrer ;Guaianases;59,51;58,4;58,7;62,5175;61,8675;60,65;62,9;61,2;65;61;
Idade média ao morrer ;Iguatemi;53,11;57,02;58,4;59,99;59,17;59,06;60,1;59,3;61;60;
Idade média ao morrer ;Ipiranga;72,83;71,008335;71,55;75,07;72,235;74,35;74,3;73,5;74;74;
Idade média ao morrer ;Itaim Bibi;79,64;77,77;78,6;81,5;78,67;77,91;80,3;79,5;82;79;
Idade média ao morrer ;Itaim Paulista;60,07;59,405;62,175;63,475;61,6375;62,44;62,6;64,2;64;65;
Idade média ao morrer ;Itaquera;61,62;62,56125;64,125;66,015;64,36;64,61;64,5;65,3;67;66;
Idade média ao morrer ;Jabaquara;68,43;69,24;68,3;72,42;70,12;70,73;70,7;70,2;72;71;
Idade média ao morrer ;Jaçanã;66,33;67,44;66,2;69,25;67,09;66,76;67,3;68,7;70;69;
Idade média ao morrer ;Jaguara;73,08;71,39;73,6;74,85;68,85;70,82;72,3;71,7;76;76;
Idade média ao morrer ;Jaguaré;66,19;67,57;66,2;68,81;67,99;68,82;68,9;70,6;71;72;
Idade média ao morrer ;Jaraguá;58,27;59,06;60,2;62,95;61,16;61,47;61,1;62,1;65;64;
Idade média ao morrer ;Jardim Ângela;55,16;54,77;55,7;60,32;58,93;58,3;61,2;59,8;62;61;
Idade média ao morrer ;Jardim Helena;61,54;60,61;61,1;62,45;62,41;62,71;63,2;62,9;64;64;
Idade média ao morrer ;Jardim Paulista;79,34;78,9;79,4;81,58;79,85;81,47;80,4;80,0;82;81;
Idade média ao morrer ;Jardim São Luís;58,74;59,23;62;63,81;61,95;62,86;64,7;63,5;67;65;
Idade média ao morrer ;José Bonifácio;62,77;60,97;63,3;64,62;63,4;64,82;64,1;64,5;66;66;
Idade média ao morrer ;Lajeado;58,73;57,56;58,1;62,3;60,15;61,43;61,2;61,5;64;61;
Idade média ao morrer ;Lapa;75,34;74,489165;75,483335;77,931665;75,844165;78,72;77,9;77,7;80;79;
Idade média ao morrer ;Liberdade;74,16;73,33;73,7;75,04;74,39;74,97;71,8;73,6;74;74;
Idade média ao morrer ;Limão;66,29;67,39;68,9;72,39;70,28;70,69;70,6;70,4;71;70;
Idade média ao morrer ;Mandaqui;71,33;72,11;69,7;73,41;72,44;72,71;71,8;70,4;74;74;
Idade média ao morrer ;Marsilac;64;60,7;59,2;61,33;57,51;66,52;65,5;61,6;61;64;
Idade média ao morrer ;Moema;77,72;78,29;79,2;80,58;80,57;79,75;79,5;79,8;81;79;
Idade média ao morrer ;Moóca;73,01;73,18;74,408335;75,553335;74,138335;77,25;77,6;74,9;77;77;
Idade média ao morrer ;Morumbi;72,84;72,38;72;73,01;73,48;73,19;75,3;71,9;76;74;
Idade média ao morrer ;Parelheiros;58,93;59,41;59,725;61,855;58,98;59,82;59,2;61,9;63;63;
Idade média ao morrer ;Pari;68,17;66,26;68,9;69,25;66,75;68,8;68,9;67,1;69;68;
Idade média ao morrer ;Parque do Carmo;61,19;59,33;61,5;65,52;63,23;63,58;65,4;63,8;66;67;
Idade média ao morrer ;Pedreira;60,65;60,44;60,8;60,95;61,98;62,85;62,7;62,1;65;63;
Idade média ao morrer ;Penha;69,53;69,3325;69,9875;72,69375;70,41625;71,87;72,7;71,3;74;73;
Idade média ao morrer ;Perdizes;76,96;78,05;78,1;80,5;78;79,01;78,2;77,9;80;80;
Idade média ao morrer ;Perus;57,965;58,41;59,55;60,485;60,8575;60,81;61,4;64,3;65;62;
Idade média ao morrer ;Pinheiros;79,50375;79,01125;78,65;81,1025;78,4825;78,52;79,5;78,8;80;81;
Idade média ao morrer ;Pirituba;66,206665;66,078335;66,716665;68,67;67,56;68,1;68;67,9;70;70;
Idade média ao morrer ;Ponte Rasa;66,81;67,11;68,1;70,76;67,87;69,1;68,8;68,6;71;70;
Idade média ao morrer ;Raposo Tavares;61,79;61,65;63,3;67,08;64,34;64,27;64,8;65,9;68;68;
Idade média ao morrer ;República;65,13;67,24;67,7;69,8;66,65;68,23;67,9;67,9;68;67;
Idade média ao morrer ;Rio Pequeno;66,31;66,62;68,9;70,01;69,56;68,73;71,2;69,2;72;71;
Idade média ao morrer ;Sacomã;66,85;67,13;67,3;70,49;67,72;68;67,7;67,9;70;68;
Idade média ao morrer ;Santa Cecília;72,65;72,98;72;74,86;74,05;73,88;73,3;72,7;75;74;
Idade média ao morrer ;Santana;75,07;74,95;75;76,74;75,42;76,04;75,7;74,8;77;77;
Idade média ao morrer ;Santo Amaro;75,425;74,913335;76,5;77,306665;76,943335;77,15;78,7;78,2;79;77;
Idade média ao morrer ;São Domingos;68,25;68,49;67,7;71,39;70,24;70,75;68,8;69,3;73;70;
Idade média ao morrer ;São Lucas;69,11;69,2;70,6;72,55;71,42;71,29;71,6;70,4;73;72;
Idade média ao morrer ;São Mateus;60,436665;61,951665;62,983335;65,901665;63,146665;66,56;66,1;65,6;68;67;
Idade média ao morrer ;São Miguel;64,32;63,996665;64,666665;65,873335;66,181665;66,23;67,3;66,2;70;68;
Idade média ao morrer ;São Rafael;57,31;58,29;59,9;63,22;58,75;59,51;60,3;59,8;62;62;
Idade média ao morrer ;Sapopemba;62,3;63,07;63,9;65,51;63,92;64,53;65,6;65,4;68;67;
Idade média ao morrer ;Saúde;77,27;77,07;76,7;79,3;77,16;77,99;77,7;77,3;80;79;
Idade média ao morrer ;Sé;67,045;65,220625;66,4125;69,99;68,106875;65,57;64,3;61,8;63;60;
Idade média ao morrer ;Socorro;73,04;71,8;70,4;75,94;74,74;71,37;74;73,3;77;74;
Idade média ao morrer ;Tatuapé;75,04;74,78;74,3;78,25;76,05;76,57;75,5;75,2;77;77;
Idade média ao morrer ;Tremembé;63,7;64,57;64;67,07;66,27;65,6;66;66,1;68;67;
Idade média ao morrer ;Tucuruvi;74,27;73,06;74,1;75,44;74,24;74,79;74,9;72,7;76;75;
Idade média ao morrer ;Vila Andrade;61,57;61,96;64;65,86;63,55;66,5;65,9;66,2;70;69;
Idade média ao morrer ;Vila Curuçá;61,77;61,31;63,3;64,15;63,4;65,02;65,1;64,6;68;66;
Idade média ao morrer ;Vila Formosa;70,1;71,87;72;75,02;72,65;73,15;72;71,9;75;74;
Idade média ao morrer ;Vila Guilherme;72,13;72,1;72,6;75,53;72,46;73,22;72,2;71,4;74;73;
Idade média ao morrer ;Vila Jacuí;61,82;60,21;61,7;63,43;63,92;62,46;64,4;64,4;66;65;
Idade média ao morrer ;Vila Leopoldina;73,21;74,83;75,2;77,8;74,71;75,48;74,6;75,8;77;76;
Idade média ao morrer ;Vila Maria;67,42;66,11;67,2;70,33;66,81;68,09;68,5;67,9;69;69;
Idade média ao morrer ;Vila Mariana;77,325;77,573335;77,983335;80,046665;78,401665;78,47;79;78,3;80;79;
