Distrito;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Água Rasa;264;565;44;5;3;69;13;28;131;70
Alto de Pinheiros;115;107;125;7;4;40;10;21;112;65
Anhanguera;148;619;69;0;0;48;5;30;129;221
Aricanduva;100;1061;74;9;1;705;4;29;68;68
Artur Alvim;96;739;272;8;3;141;61;45;97;138
Barra Funda;21;108;16;3;1;25;5;50;39;50
Bela Vista;12;181;120;5;9;73;8;24;76;67
Belém;16;429;134;16;19;43;15;14;22;67
Bom Retiro;121;301;100;2;1;34;5;14;21;37
Brás;61;235;56;5;2;37;7;5;14;46
Brasilândia;1074;9974;169;21;16;564;71;318;313;360
Butantã;360;483;83;1;4;109;21;44;70;91
Cachoeirinha;412;2096;88;22;14;303;28;417;276;266
Cambuci;26;388;39;3;7;42;6;41;46;41
Campo Belo;66;385;114;3;6;43;16;41;133;66
Campo Grande;54;289;207;6;4;56;23;45;125;113
Campo Limpo;876;2324;277;26;12;338;24;112;248;212
Cangaíba;118;1760;479;7;7;199;46;49;93;282
Capão Redondo;694;1887;463;24;26;510;32;224;237;201
Carrão;532;840;151;4;4;252;17;26;75;62
Casa Verde;196;1208;52;4;6;223;15;40;74;161
Cidade Ademar;367;4414;370;19;11;353;42;185;277;191
Cidade Dutra;73;452;99;8;5;106;22;66;97;105
Cidade Líder;530;1000;236;3;2;240;22;56;108;145
Cidade Tiradentes;71;1495;311;16;12;175;14;238;151;167
Consolação;11;92;31;6;8;50;9;21;66;52
Cursino;36;504;324;3;10;171;28;90;226;96
Ermelino Matarazzo;312;1131;125;11;4;153;30;123;156;272
Freguesia do Ó;497;2616;179;11;6;354;44;86;123;265
Grajaú;342;1640;240;14;13;297;22;109;109;152
Guaianases;26;686;281;7;5;139;11;110;207;175
Iguatemi;62;306;81;3;3;115;9;83;45;77
Ipiranga;39;602;131;7;6;134;16;47;226;131
Itaim Bibi;96;380;82;8;7;73;18;46;226;140
Itaim Paulista;111;843;362;9;13;290;25;65;232;291
Itaquera;722;3164;641;18;8;288;29;275;256;534
Jabaquara;454;2901;222;10;7;166;21;203;121;105
Jaçanã;554;1273;64;9;5;284;29;203;93;218
Jaguara;162;252;36;0;3;72;4;11;52;156
Jaguaré;1704;455;37;1;3;65;10;17;51;46
Jaraguá;831;2752;104;7;6;275;19;148;89;208
Jardim Ângela;239;4314;236;45;28;542;53;224;354;235
Jardim Helena;81;1228;126;1;3;75;9;87;78;99
Jardim Paulista;51;186;75;11;6;58;17;24;88;105
Jardim São Luís;331;1391;400;42;12;308;65;294;399;162
José Bonifácio;45;437;162;2;4;206;10;69;62;63
Lajeado;95;1607;1351;13;2;242;20;127;263;134
Lapa;825;563;52;7;7;121;23;37;121;152
Liberdade;1;261;100;10;4;57;12;15;50;66
Limão;206;1100;54;1;7;90;11;49;72;124
Mandaqui;214;701;69;8;6;258;20;41;131;206
Marsilac;0;1;1;0;1;2;0;3;1;3
Moema;135;176;44;6;4;52;17;29;91;70
Moóca;35;806;90;4;7;59;12;26;62;55
Morumbi;36;132;24;0;4;48;13;20;55;54
Parelheiros;6;389;53;0;0;24;5;2;11;40
Pari;38;217;80;16;6;66;12;38;65;86
Parque do Carmo;52;972;227;5;1;85;10;51;64;42
Pedreira;123;1639;386;25;7;190;13;149;116;86
Penha;190;1790;912;11;7;229;66;41;106;386
Perdizes;206;413;94;5;5;170;23;37;136;235
Perus;380;880;25;12;3;44;12;40;72;79
Pinheiros;100;243;77;8;1;79;13;35;99;139
Pirituba;1171;2459;112;8;5;382;34;83;269;232
Ponte Rasa;225;906;94;8;3;112;33;46;71;154
Raposo Tavares;869;2911;93;6;7;254;19;127;233;98
República;9;79;105;6;3;38;7;8;32;43
Rio Pequeno;1419;2447;167;7;4;306;22;81;86;182
Sacomã;127;1231;361;9;15;330;28;131;355;162
Santa Cecília;29;255;75;7;6;100;15;96;74;129
Santana;220;882;89;6;3;148;14;46;125;342
Santo Amaro;230;211;57;5;5;58;19;30;92;81
São Domingos;220;396;70;7;6;592;15;27;88;164
São Lucas;110;375;120;8;8;87;17;39;109;125
São Mateus;84;538;190;10;3;224;16;61;88;70
São Miguel;193;1316;210;3;2;154;44;108;65;207
São Rafael;42;234;84;6;4;156;15;50;226;91
Sapopemba;160;584;337;16;8;355;21;137;185;172
Saúde;60;458;127;5;5;114;21;77;170;129
Sé;5;92;71;4;2;25;3;4;13;60
Socorro;9;209;11;2;2;10;13;25;20;46
Tatuapé;132;663;134;8;9;91;14;35;60;94
Tremembé;3523;1202;135;58;10;410;90;183;212;613
Tucuruvi;371;384;74;7;12;128;22;50;118;247
Vila Andrade;158;637;48;13;5;105;23;35;103;124
Vila Curuçá;194;1055;314;11;4;258;30;79;109;134
Vila Formosa;373;755;72;3;5;389;11;26;108;63
Vila Guilherme;71;366;62;1;2;73;10;28;99;225
Vila Jacuí;1117;961;318;6;0;369;30;103;100;279
Vila Leopoldina;131;236;28;1;5;28;4;14;33;77
Vila Maria;215;2240;205;8;8;298;32;88;178;370
Vila Mariana;35;410;76;8;10;79;22;48;120;138
Vila Matilde;169;953;357;7;2;206;29;66;299;132
Vila Medeiros;498;2576;72;16;5;134;31;106;89;300
Vila Prudente;98;822;125;3;4;52;11;64;91;85
Vila Sônia;345;737;140;8;8;222;18;94;92;132
