Dado;Distritos;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Oferta de emprego formal;Água Rasa;30.083;31.054;30.048;31.373;32.049;30.228;30.842;30.842;30.842;30.842
Oferta de emprego formal;Alto de Pinheiros;23.913;26.163;25.760;23.959;24.200;22.998;20.764;20.764;20.764;20.764
Oferta de emprego formal;Anhanguera;8.354;7.419;6.581;6.816;7.573;8.069;8.012;8.012;8.012;8.012
Oferta de emprego formal;Aricanduva;23.610;23.002;21.810;22.078;21.424;20.763;19.642;19.642;19.642;19.642
Oferta de emprego formal;Artur Alvim;13.022;11.820;11.463;13.231;14.080;11.452;10.529;10.529;10.529;10.529
Oferta de emprego formal;Barra Funda;89.932;91.980;85.799;84.482;76.960;88.378;85.906;85.906;85.906;85.906
Oferta de emprego formal;Bela Vista;135.937;137.516;137.074;124.543;128.907;142.669;129.748;129.748;129.748;129.748
Oferta de emprego formal;Belém;54.060;49.813;48.663;53.165;56.564;42.456;40.819;40.819;40.819;40.819
Oferta de emprego formal;Bom Retiro;61.542;55.716;53.472;52.248;52.996;53.107;47.812;47.812;47.812;47.812
Oferta de emprego formal;Brás;56.465;51.510;52.405;52.299;51.280;48.495;43.997;43.997;43.997;43.997
Oferta de emprego formal;Brasilândia;11.921;11.599;11.437;10.521;10.675;11.001;11.336;11.336;11.336;11.336
Oferta de emprego formal;Butantã;63.738;56.409;53.626;51.763;52.415;59.005;60.686;60.686;60.686;60.686
Oferta de emprego formal;Cachoeirinha;13.835;13.867;13.510;14.458;13.505;12.910;12.594;12.594;12.594;12.594
Oferta de emprego formal;Cambuci;42.241;39.337;37.454;40.840;39.894;42.113;33.698;33.698;33.698;33.698
Oferta de emprego formal;Campo Belo;73.084;71.003;69.367;62.614;59.492;60.844;51.490;51.490;51.490;51.490
Oferta de emprego formal;Campo Grande;79.216;75.636;66.517;61.680;62.979;62.235;51.053;51.053;51.053;51.053
Oferta de emprego formal;Campo Limpo;20.085;20.374;20.578;24.570;23.057;24.241;23.369;23.369;23.369;23.369
Oferta de emprego formal;Cangaíba;11.187;11.019;11.465;10.835;10.359;10.420;9.887;9.887;9.887;9.887
Oferta de emprego formal;Capão Redondo;23.855;22.176;22.315;21.610;19.737;21.922;20.247;20.247;20.247;20.247
Oferta de emprego formal;Carrão;27.264;28.320;26.578;26.183;26.873;31.376;32.806;32.806;32.806;32.806
Oferta de emprego formal;Casa Verde;32.386;30.948;28.168;32.195;32.735;33.284;31.875;31.875;31.875;31.875
Oferta de emprego formal;Cidade Ademar;23.501;21.848;21.241;19.292;21.248;21.269;20.340;20.340;20.340;20.340
Oferta de emprego formal;Cidade Dutra;29.607;30.313;30.969;28.668;29.526;31.251;28.747;28.747;28.747;28.747
Oferta de emprego formal;Cidade Líder;18.164;17.250;18.033;19.764;19.943;17.903;17.316;17.316;17.316;17.316
Oferta de emprego formal;Cidade Tiradentes;6.875;8.024;8.152;7.106;7.081;6.842;6.814;6.814;6.814;6.814
Oferta de emprego formal;Consolação;109.572;100.201;93.876;93.850;98.144;82.771;78.688;78.688;78.688;78.688
Oferta de emprego formal;Cursino;27.673;25.170;23.086;21.816;21.140;20.974;19.598;19.598;19.598;19.598
Oferta de emprego formal;Ermelino Matarazzo;14.213;13.049;13.744;13.000;12.534;12.233;11.753;11.753;11.753;11.753
Oferta de emprego formal;Freguesia do Ó;38.163;31.449;29.148;28.484;27.308;27.051;23.014;23.014;23.014;23.014
Oferta de emprego formal;Grajaú;17.284;17.465;21.031;17.417;17.782;17.286;17.274;17.274;17.274;17.274
Oferta de emprego formal;Guaianases;7.575;7.055;7.143;7.233;7.437;7.095;7.019;7.019;7.019;7.019
Oferta de emprego formal;Iguatemi;7.495;7.140;7.080;6.452;6.806;6.660;7.123;7.123;7.123;7.123
Oferta de emprego formal;Ipiranga;61.713;63.749;61.445;72.167;71.007;75.636;70.401;70.401;70.401;70.401
Oferta de emprego formal;Itaim Bibi;334.448;339.749;327.264;310.375;323.463;345.238;331.110;331.110;331.110;331.110
Oferta de emprego formal;Itaim Paulista;21.579;20.745;21.205;22.520;23.148;22.206;21.886;21.886;21.886;21.886
Oferta de emprego formal;Itaquera;25.818;27.990;29.409;22.966;25.687;29.885;28.717;28.717;28.717;28.717
Oferta de emprego formal;Jabaquara;71.111;67.689;64.597;65.875;64.755;67.269;61.634;61.634;61.634;61.634
Oferta de emprego formal;Jaçanã;16.065;15.318;14.603;14.399;14.994;14.965;14.343;14.343;14.343;14.343
Oferta de emprego formal;Jaguara;26.210;24.931;24.002;21.431;21.362;25.871;23.790;23.790;23.790;23.790
Oferta de emprego formal;Jaguaré;36.991;35.082;35.609;39.805;48.370;66.072;64.053;64.053;64.053;64.053
Oferta de emprego formal;Jaraguá;17.437;17.333;18.046;17.287;17.493;17.243;15.959;15.959;15.959;15.959
Oferta de emprego formal;Jardim Ângela;14.555;14.143;15.127;13.935;14.959;14.978;15.008;15.008;15.008;15.008
Oferta de emprego formal;Jardim Helena;6.740;7.242;6.967;6.616;6.662;7.179;7.783;7.783;7.783;7.783
Oferta de emprego formal;Jardim Paulista;167.645;166.688;152.491;118.086;128.523;143.583;145.897;145.897;145.897;145.897
Oferta de emprego formal;Jardim São Luís;49.240;40.492;37.914;42.541;44.460;48.648;42.980;42.980;42.980;42.980
Oferta de emprego formal;José Bonifácio;10.404;11.954;11.468;10.932;11.512;24.611;25.490;25.490;25.490;25.490
Oferta de emprego formal;Lajeado;9.125;9.769;9.701;11.462;11.710;11.994;10.898;10.898;10.898;10.898
Oferta de emprego formal;Lapa;122.576;124.355;111.249;108.451;113.449;127.154;120.180;120.180;120.180;120.180
Oferta de emprego formal;Liberdade;54.228;51.980;50.715;53.014;50.454;45.904;43.476;43.476;43.476;43.476
