DISTRITO;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Água Rasa;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,8
Alto de Pinheiros;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1
Anhanguera;50,3;50,3;50,3;50,3;50,3;50,3;50,3;50,3;50,3;50,3
Aricanduva;27,5;27,5;27,5;27,5;27,5;27,5;27,5;27,5;27,5;27,5
Artur Alvim;37,1;37,1;37,1;37,1;37,1;37,1;37,1;37,1;37,1;37,1
Barra Funda;15,7;15,7;15,7;15,7;15,7;15,7;15,7;15,7;15,7;15,7
Bela Vista;21,6;21,6;21,6;21,6;21,6;21,6;21,6;21,6;21,6;21,6
Belém;24,7;24,7;24,7;24,7;24,7;24,7;24,7;24,7;24,7;24,7
Bom Retiro;31,4;31,4;31,4;31,4;31,4;31,4;31,4;31,4;31,4;31,4
Brás;33,5;33,5;33,5;33,5;33,5;33,5;33,5;33,5;33,5;33,5
Brasilândia;50,6;50,6;50,6;50,6;50,6;50,6;50,6;50,6;50,6;50,6
Butantã;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1
Cachoeirinha;43,3;43,3;43,3;43,3;43,3;43,3;43,3;43,3;43,3;43,3
Cambuci;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21;21
Campo Belo;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2;12,2
Campo Grande;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3
Campo Limpo;47,9;47,9;47,9;47,9;47,9;47,9;47,9;47,9;47,9;47,9
Cangaíba;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2
Capão Redondo;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9
Carrão;17,3;17,3;17,3;17,3;17,3;17,3;17,3;17,3;17,3;17,3
Casa Verde;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1;29,1
Cidade Ademar;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50;50
Cidade Dutra;45,5;45,5;45,5;45,5;45,5;45,5;45,5;45,5;45,5;45,5
Cidade Líder;38,8;38,8;38,8;38,8;38,8;38,8;38,8;38,8;38,8;38,8
Cidade Tiradentes;56,1;56,1;56,1;56,1;56,1;56,1;56,1;56,1;56,1;56,1
Consolação;10,6;10,6;10,6;10,6;10,6;10,6;10,6;10,6;10,6;10,6
Cursino;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6
Ermelino Matarazzo;43,0;43,0;43,0;43,0;43,0;43,0;43,0;43,0;43;43
Freguesia do Ó;29,9;29,9;29,9;29,9;29,9;29,9;29,9;29,9;29,9;29,9
Grajaú;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8
Guaianases;51,5;51,5;51,5;51,5;51,5;51,5;51,5;51,5;51,5;51,5
Iguatemi;50,9;50,9;50,9;50,9;50,9;50,9;50,9;50,9;50,9;50,9
Ipiranga;22,0;22,0;22,0;22,0;22,0;22,0;22,0;22,0;22;22
Itaim Bibi;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3
Itaim Paulista;54,8;54,8;54,8;54,8;54,8;54,8;54,8;54,8;54,8;54,8
Itaquera;45,7;45,7;45,7;45,7;45,7;45,7;45,7;45,7;45,7;45,7
Jabaquara;34,4;34,4;34,4;34,4;34,4;34,4;34,4;34,4;34,4;34,4
Jaçanã;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8
Jaguara;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8;25,8
Jaguaré;34,4;34,4;34,4;34,4;34,4;34,4;34,4;34,4;34,4;34,4
Jaraguá;47,3;47,3;47,3;47,3;47,3;47,3;47,3;47,3;47,3;47,3
Jardim Ângela;60,1;60,1;60,1;60,1;60,1;60,1;60,1;60,1;60,1;60,1
Jardim Helena;54,7;54,7;54,7;54,7;54,7;54,7;54,7;54,7;54,7;54,7
Jardim Paulista;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5
Jardim São Luís;51,3;51,3;51,3;51,3;51,3;51,3;51,3;51,3;51,3;51,3
José Bonifácio;47,6;47,6;47,6;47,6;47,6;47,6;47,6;47,6;47,6;47,6
Lajeado;56,2;56,2;56,2;56,2;56,2;56,2;56,2;56,2;56,2;56,2
Lapa;10,7;10,7;10,7;10,7;10,7;10,7;10,7;10,7;10,7;10,7
Liberdade;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9
Limão;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8
Mandaqui;24,3;24,3;24,3;24,3;24,3;24,3;24,3;24,3;24,3;24,3
Marsilac;48,6;48,6;48,6;48,6;48,6;48,6;48,6;48,6;48,6;48,6
Moema;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8
Moóca;12,3;12,3;12,3;12,3;12,3;12,3;12,3;12,3;12,3;12,3
Morumbi;19,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5;19,5
Parelheiros;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6
Pari;34,7;34,7;34,7;34,7;34,7;34,7;34,7;34,7;34,7;34,7
Parque do Carmo;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7
Pedreira;52,4;52,4;52,4;52,4;52,4;52,4;52,4;52,4;52,4;52,4
Penha;23,9;23,9;23,9;23,9;23,9;23,9;23,9;23,9;23,9;23,9
Perdizes;9,4;9,4;9,4;9,4;9,4;9,4;9,4;9,4;9,4;9,4
Perus;48,8;48,8;48,8;48,8;48,8;48,8;48,8;48,8;48,8;48,8
Pinheiros;11,1;11,1;11,1;11,1;11,1;11,1;11,1;11,1;11,1;11,1
Pirituba;31,3;31,3;31,3;31,3;31,3;31,3;31,3;31,3;31,3;31,3
Ponte Rasa;35,2;35,2;35,2;35,2;35,2;35,2;35,2;35,2;35,2;35,2
Raposo Tavares;46,5;46,5;46,5;46,5;46,5;46,5;46,5;46,5;46,5;46,5
República;30,2;30,2;30,2;30,2;30,2;30,2;30,2;30,2;30,2;30,2
Rio Pequeno;32,4;32,4;32,4;32,4;32,4;32,4;32,4;32,4;32,4;32,4
Sacomã;32,0;32,0;32,0;32,0;32,0;32,0;32,0;32,0;32;32
Santa Cecília;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7
Santana;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5
Santo Amaro;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3;10,3
São Domingos;32,0;32,0;32,0;32,0;32,0;32,0;32,0;32,0;32;32
São Lucas;24,4;24,4;24,4;24,4;24,4;24,4;24,4;24,4;24,4;24,4
São Mateus;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5;37,5
São Miguel;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1
São Rafael;47,9;47,9;47,9;47,9;47,9;47,9;47,9;47,9;47,9;47,9
Sapopemba;41,7;41,7;41,7;41,7;41,7;41,7;41,7;41,7;41,7;41,7
Saúde;10,9;10,9;10,9;10,9;10,9;10,9;10,9;10,9;10,9;10,9
Sé;38,3;38,3;38,3;38,3;38,3;38,3;38,3;38,3;38,3;38,3
Socorro;21,5;21,5;21,5;21,5;21,5;21,5;21,5;21,5;21,5;21,5
Tatuapé;11,1;11,1;11,1;11,1;11,1;11,1;11,1;11,1;11,1;11,1
Tremembé;39,7;39,7;39,7;39,7;39,7;39,7;39,7;39,7;39,7;39,7
Tucuruvi;19,3;19,3;19,3;19,3;19,3;19,3;19,3;19,3;19,3;19,3
Vila Andrade;41,4;41,4;41,4;41,4;41,4;41,4;41,4;41,4;41,4;41,4
Vila Curuçá;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2
Vila Formosa;20,4;20,4;20,4;20,4;20,4;20,4;20,4;20,4;20,4;20,4
Vila Guilherme;22,0;22,0;22,0;22,0;22,0;22,0;22,0;22,0;22;22
Vila Jacuí;49,0;49,0;49,0;49,0;49,0;49,0;49,0;49,0;49;49
Vila Leopoldina;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4;14,4
Vila Maria;34,0;34,0;34,0;34,0;34,0;34,0;34,0;34,0;34;34
Vila Mariana;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7;8,7
Vila Matilde;25,4;25,4;25,4;25,4;25,4;25,4;25,4;25,4;25,4;25,4
Vila Medeiros;34,0;34,0;34,0;34,0;34,0;34,0;34,0;34,0;34;34
Vila Prudente;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19;19
Vila Sônia;27,9;27,9;27,9;27,9;27,9;27,9;27,9;27,9;27,9;27,9
