Distrito;n_preta_parda_2014;n_preta_parda_2015;n_preta_parda_2016;n_preta_parda_2017;n_preta_parda_2018;n_preta_parda_2019;n_preta_parda_2020;n_preta_parda_2021;n_preta_parda_2022;n_preta_parda_2023
Água Rasa;11,878212;11,923476;11,95701;11,984058;12,006138;12,023664;12,024078;11,985438;11,937552;11,908986
Alto de Pinheiros;3,38742;3,360933;3,327561;3,292812;3,258144;3,222747;3,182895;3,132756;3,083508;3,040092
Anhanguera;34,675814;35,12449;35,508279;35,895589;36,295977;36,705419;37,049974;37,29242;37,65458;37,940284
Aricanduva;24,85175;24,9018;24,93645;24,96285;24,98925;24,99915;24,97605;24,886675;24,74945;24,687575
Artur Alvim;38,239712;38,014515;37,735523;37,452821;37,189782;36,919694;36,577632;36,100526;35,596337;35,18564
Barra Funda;3,218814;3,475038;3,732675;3,988428;4,248734;4,510924;4,769189;5,021645;5,240189;5,489505
Bela Vista;14,4126;14,240232;14,069808;13,892472;13,743864;13,593744;13,403016;13,209696;13,019832;12,838608
Belém;12,031123;12,229958;12,462879;12,693577;12,923781;13,157443;13,36023;13,55289;13,722085;13,944138
Bom Retiro;10,635494;10,622306;10,619166;10,616026;10,612886;10,600326;10,563902;10,521826;10,493252;10,463108
Brás;10,840265;11,106255;11,370235;11,629525;11,904895;12,177585;12,41175;12,643235;12,864;13,114915
Brasilândia;131,106118;130,331938;129,620502;128,849864;127,974484;126,939208;125,638788;124,025154;122,362944;120,63293
Butantã;8,648276;8,636362;8,6296;8,617525;8,589672;8,555218;8,517544;8,464897;8,399048;8,335936
Cachoeirinha;62,445961;62,552912;62,648172;62,722648;62,783268;62,744731;62,571964;62,254142;61,815513;61,478206
Cambuci;8,34561;8,49681;8,6478;8,80047;8,96049;9,11316;9,24798;9,37314;9,50439;9,63816
Campo Belo;8,323328;8,396894;8,4607;8,523896;8,585994;8,647726;8,701406;8,735078;8,757038;8,792296
Campo Grande;23,772692;24,119903;24,422737;24,707508;25,004544;25,305817;25,583229;25,781699;25,958092;26,164813
Campo Limpo;105,448497;106,531037;107,633216;108,686537;109,709202;110,718455;111,537066;112,102286;112,588471;113,16854
Cangaíba;53,115572;53,335604;53,503684;53,661832;53,826092;53,946804;54,011362;53,983858;53,881864;53,86773
Capão Redondo;146,129368;146,402641;146,562724;146,631177;146,695857;146,618241;146,31694;145,781713;145,152161;144,567885
Carrão;14,621268;14,674725;14,708806;14,74306;14,782158;14,813125;14,812087;14,766934;14,726106;14,703616
Casa Verde;24,677964;24,604632;24,520533;24,40908;24,28395;24,152418;23,979564;23,75142;23,520657;23,322777
Cidade Ademar;131,1725;130,625;130,1085;129,5295;128,8195;127,9545;126,8975;125,533;124,18;122,7635
Cidade Dutra;87,882795;87,509695;87,04423;86,52007;85,9859;85,40532;84,740565;83,87197;82,91192;82,024215
Cidade Líder;50,559892;51,013076;51,402628;51,771228;52,133232;52,458764;52,699712;52,799816;52,887892;53,013992
Cidade Tiradentes;115,937943;115,375821;114,642594;113,829144;112,984839;112,117533;111,06117;109,646889;108,334149;106,932771
Consolação;5,983912;5,957836;5,93123;5,900914;5,873566;5,843886;5,799048;5,752726;5,715944;5,68266
Cursino;26,57292;26,501826;26,422368;26,322984;26,218926;26,10183;25,96161;25,762596;25,537998;25,31463
Ermelino Matarazzo;48,86262;48,91035;48,93357;48,93013;48,90605;48,84327;48,68331;48,42015;48,19139;47,99918
Freguesia do Ó;42,474445;42,43109;42,378167;42,302819;42,20086;42,047473;41,818738;41,502994;41,147782;40,872702
Grajaú;210,115128;211,44652;212,677376;213,827008;215,015832;216,082536;216,752208;216,869784;217,186728;217,33952
Guaianases;54,53026;54,87119;55,24405;55,58704;55,812095;55,985135;56,10925;56,069595;55,952175;55,892435
Iguatemi;68,842759;69,83989;70,725041;71,562346;72,456659;73,360134;74,184205;74,865247;75,567667;76,306226
Ipiranga;24,36786;24,57972;24,77816;24,96912;25,16932;25,36908;25,53122;25,63066;25,70524;25,82272
Itaim Bibi;7,947084;8,01531;8,087935;8,161224;8,237584;8,313363;8,382336;8,442511;8,497042;8,559873
Itaim Paulista;120,0394;119,405912;118,629944;117,806848;116,928952;115,983104;114,90738;113,496828;112,042984;110,605032
Itaquera;94,966428;95,350765;95,72779;96,094761;96,41329;96,614827;96,62808;96,427;96,155542;96,034437
Jabaquara;76,5314;76,377632;76,215608;76,032256;75,84168;75,588496;75,202528;74,651096;74,081088;73,560272
Jaçanã;33,14722;32,964282;32,758432;32,56547;32,403654;32,22537;31,995534;31,669396;31,323926;31,003158
Jaguara;6,451548;6,452322;6,453612;6,453354;6,457224;6,459804;6,454902;6,43839;6,416202;6,397368
Jaguaré;17,821608;18,006336;18,19072;18,370632;18,548136;18,716352;18,853608;18,955776;19,040056;19,133968
Jaraguá;91,881196;93,012139;94,127;95,214427;96,300435;97,331575;98,222234;98,873082;99,506429;100,234849
Jardim Ângela;181,267009;182,348809;183,207037;183,986534;184,787667;185,505261;185,883891;185,802155;185,736646;185,693374
Jardim Helena;73,277761;73,150857;72,88228;72,562832;72,304101;72,003798;71,588078;70,999506;70,324508;69,755628
Jardim Paulista;7,38565;7,345955;7,30643;7,265885;7,228995;7,191425;7,144505;7,0958;7,051345;7,00655
Jardim São Luís;136,599075;136,344114;136,096848;135,788535;135,429948;134,917461;134,251587;133,413858;132,491484;131,478309
José Bonifácio;60,086432;60,319196;60,45676;60,59718;60,78282;60,964176;61,07794;61,031292;61,023676;61,120304
Lajeado;92,922204;93,071134;93,180724;93,23299;93,211634;93,094738;92,818796;92,304566;91,787526;91,310388
Lapa;7,437998;7,544677;7,640549;7,73503;7,833684;7,93512;8,030136;8,102789;8,16517;8,243922
Liberdade;12,269555;12,24181;12,216213;12,184351;12,149088;12,107023;12,037392;11,96078;11,891865;11,809525
Limão;26,777592;26,894032;27,017032;27,121008;27,18628;27,200712;27,173816;27,110184;27,007848;26,980296
Mandaqui;26,096742;26,065638;26,020926;25,968195;25,897968;25,811217;25,691418;25,498962;25,308936;25,156818
Marsilac;4,544586;4,67046;4,807998;4,945536;5,081616;5,213808;5,346972;5,454864;5,551092;5,664816
Moema;4,84039;4,842188;4,839346;4,836736;4,837374;4,83633;4,829776;4,81661;4,809244;4,799848
Moóca;9,62475;9,698304;9,764355;9,827946;9,893628;9,949716;9,986247;10,000146;10,015029;10,035816
Morumbi;8,999055;8,968635;8,954985;8,93373;8,885955;8,825115;8,746725;8,64318;8,552115;8,440575
Parelheiros;78,410244;79,538848;80,706506;81,878692;83,016352;84,072508;84,937922;85,555994;86,201234;86,828362
Pari;6,026002;6,02739;6,02739;6,031207;6,033289;6,034677;6,030166;6,018368;6,012122;6,014204
Parque do Carmo;28,782633;29,052474;29,327199;29,583202;29,800133;29,976364;30,117186;30,225041;30,287312;30,389876
Pedreira;79,249236;80,188768;81,048128;81,904344;82,740124;83,539748;84,28278;84,837696;85,334972;85,931284
Penha;31,172292;31,32573;31,446186;31,554692;31,680406;31,795126;31,859656;31,851052;31,829781;31,883317
Perdizes;10,25587;10,20605;10,153222;10,09419;10,032244;9,971426;9,901302;9,818018;9,738588;9,655304
Perus;40,468376;40,853896;41,210624;41,510744;41,786464;42,03632;42,25104;42,387192;42,488208;42,613624
Pinheiros;7,273497;7,278492;7,291923;7,306353;7,317453;7,327776;7,330995;7,326777;7,325445;7,329885
Pirituba;54,200019;54,6185;54,989405;55,321498;55,626673;55,893975;56,116831;56,24297;56,304944;56,497752
Ponte Rasa;32,868352;32,832448;32,7624;32,673696;32,588512;32,472;32,300928;32,045728;31,749696;31,483232
Raposo Tavares;49,485765;50,25069;51,000735;51,71544;52,413405;53,04813;53,59497;54,053925;54,45522;54,952305
República;17,673644;17,779344;17,91162;18,020642;18,109128;18,189158;18,253182;18,308448;18,336836;18,396632
Rio Pequeno;40,171464;40,545684;40,953276;41,31648;41,648256;41,933376;42,15564;42,349716;42,466356;42,659136
Sacomã;81,07744;81,57792;82,04224;82,49408;82,9408;83,32512;83,57088;83,65216;83,70464;83,84352
Santa Cecília;16,394537;16,353561;16,321056;16,282444;16,250924;16,220783;16,169366;16,103371;16,043089;15,99049
Santana;17,2579;17,250215;17,237165;17,218605;17,20454;17,179745;17,12334;17,037645;16,940495;16,881625
Santo Amaro;7,894229;8,032352;8,162132;8,291809;8,423237;8,555386;8,678162;8,779514;8,881381;8,991591
São Domingos;27,77632;27,96192;28,09728;28,2112;28,33088;28,44256;28,51456;28,51424;28,50016;28,54368
São Lucas;34,688992;34,67484;34,623112;34,57236;34,520876;34,453288;34,33812;34,109004;33,870616;33,691276
São Mateus;58,6245;58,71675;58,751625;58,765125;58,809;58,82625;58,743375;58,540875;58,300125;58,162875
São Miguel;39,218571;38,859156;38,667762;38,449026;38,053008;37,566585;37,006956;36,340605;35,636328;35,020251
São Rafael;69,801317;70,071473;70,288939;70,491556;70,634298;70,736804;70,814881;70,743989;70,701837;70,635735
Sapopemba;117,213696;116,800866;116,25543;115,639521;114,991086;114,290109;113,408988;112,255566;111,080043;109,993341
Saúde;14,294042;14,291862;14,280635;14,267337;14,264503;14,269299;14,253603;14,206842;14,157029;14,11877
Sé;9,154083;9,175148;9,218427;9,240641;9,240641;9,229151;9,177829;9,117315;9,049907;8,97752
Socorro;8,23579;8,255355;8,27105;8,285025;8,30287;8,314695;8,31448;8,28825;8,2474;8,226975
Tatuapé;10,511256;10,594395;10,675869;10,759341;10,838262;10,917405;10,983006;11,013531;11,045166;11,110323
Tremembé;78,474196;78,580592;78,638157;78,650861;78,624262;78,53057;78,345965;78,036702;77,794135;77,505119
Tucuruvi;19,253294;19,305211;19,346899;19,388008;19,436644;19,471384;19,475437;19,435486;19,38878;19,377779
Vila Andrade;58,151268;59,710806;61,125858;62,544222;64,019718;65,483622;66,863898;68,094306;69,43815;70,762536
Vila Curuçá;75,462144;75,254784;74,86464;74,45248;74,114048;73,757696;73,269248;72,564736;71,86432;71,211008
Vila Formosa;19,358376;19,357968;19,33104;19,299624;19,268004;19,232304;19,17702;19,070532;18,94854;18,872652
Vila Guilherme;11,94446;11,93214;11,9141;11,88154;11,85162;11,82038;11,77;11,6886;11,60808;11,5434
Vila Jacuí;68,83912;68,65145;68,29326;67,90763;67,57933;67,25397;66,85511;66,27642;65,68352;65,20626
Vila Leopoldina;6,071616;6,184944;6,284016;6,38064;6,476544;6,568848;6,642864;6,696576;6,762384;6,824448
Vila Maria;38,15004;38,03206;37,91884;37,79542;37,66758;37,52308;37,34594;37,11746;36,85702;36,60746
Vila Mariana;11,331663;11,324355;11,320266;11,312436;11,30565;11,299473;11,274939;11,239182;11,200902;11,172366
Vila Matilde;26,730706;26,775918;26,799794;26,823416;26,839418;26,829512;26,764742;26,603706;26,438352;26,31694
Vila Medeiros;42,7805;42,41194;42,05018;41,66666;41,26682;40,85236;40,3801;39,80516;39,19282;38,63454
Vila Prudente;19,99579;20,06799;20,13278;20,19225;20,23861;20,26103;20,26616;20,2388;20,20593;20,19947
Vila Sônia;31,872123;32,279184;32,661135;33,019092;33,37398;33,720777;34,030467;34,280172;34,512579;34,764795
