Dado;DISTRITO;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
População total;Água Rasa; 86.074 ; 86.402 ; 86.645 ; 86.841 ; 87.001 ; 87.128 ; 87.131 ; 86.851 ; 86.504 ; 86.297 ;
População total;Alto de Pinheiros; 41.820 ; 41.493 ; 41.081 ; 40.652 ; 40.224 ; 39.787 ; 39.295 ; 38.676 ; 38.068 ; 37.532 ;
População total;Anhanguera; 68.938 ; 69.830 ; 70.593 ; 71.363 ; 72.159 ; 72.973 ; 73.658 ; 74.140 ; 74.860 ; 75.428 ;
População total;Aricanduva; 90.370 ; 90.552 ; 90.678 ; 90.774 ; 90.870 ; 90.906 ; 90.822 ; 90.497 ; 89.998 ; 89.773 ;
População total;Artur Alvim; 103.072 ; 102.465 ; 101.713 ; 100.951 ; 100.242 ; 99.514 ; 98.592 ; 97.306 ; 95.947 ; 94.840 ;
População total;Barra Funda; 20.502 ; 22.134 ; 23.775 ; 25.404 ; 27.062 ; 28.732 ; 30.377 ; 31.985 ; 33.377 ; 34.965 ;
População total;Bela Vista; 66.725 ; 65.927 ; 65.138 ; 64.317 ; 63.629 ; 62.934 ; 62.051 ; 61.156 ; 60.277 ; 59.438 ;
População total;Belém; 48.709 ; 49.514 ; 50.457 ; 51.391 ; 52.323 ; 53.269 ; 54.090 ; 54.870 ; 55.555 ; 56.454 ;
População total;Bom Retiro; 33.871 ; 33.829 ; 33.819 ; 33.809 ; 33.799 ; 33.759 ; 33.643 ; 33.509 ; 33.418 ; 33.322 ;
População total;Brás; 32.359 ; 33.153 ; 33.941 ; 34.715 ; 35.537 ; 36.351 ; 37.050 ; 37.741 ; 38.400 ; 39.149 ;
População total;Brasilândia; 259.103 ; 257.573 ; 256.167 ; 254.644 ; 252.914 ; 250.868 ; 248.298 ; 245.109 ; 241.824 ; 238.405 ;
População total;Butantã; 53.716 ; 53.642 ; 53.600 ; 53.525 ; 53.352 ; 53.138 ; 52.904 ; 52.577 ; 52.168 ; 51.776 ;
População total;Cachoeirinha; 144.217 ; 144.464 ; 144.684 ; 144.856 ; 144.996 ; 144.907 ; 144.508 ; 143.774 ; 142.761 ; 141.982 ;
População total;Cambuci; 39.741 ; 40.461 ; 41.180 ; 41.907 ; 42.669 ; 43.396 ; 44.038 ; 44.634 ; 45.259 ; 45.896 ;
População total;Campo Belo; 68.224 ; 68.827 ; 69.350 ; 69.868 ; 70.377 ; 70.883 ; 71.323 ; 71.599 ; 71.779 ; 72.068 ;
População total;Campo Grande; 106.604 ; 108.161 ; 109.519 ; 110.796 ; 112.128 ; 113.479 ; 114.723 ; 115.613 ; 116.404 ; 117.331 ;
População total;Campo Limpo; 220.143 ; 222.403 ; 224.704 ; 226.903 ; 229.038 ; 231.145 ; 232.854 ; 234.034 ; 235.049 ; 236.260 ;
População total;Cangaíba; 139.046 ; 139.622 ; 140.062 ; 140.476 ; 140.906 ; 141.222 ; 141.391 ; 141.319 ; 141.052 ; 141.015 ;
População total;Capão Redondo; 271.112 ; 271.619 ; 271.916 ; 272.043 ; 272.163 ; 272.019 ; 271.460 ; 270.467 ; 269.299 ; 268.215 ;
População total;Carrão; 84.516 ; 84.825 ; 85.022 ; 85.220 ; 85.446 ; 85.625 ; 85.619 ; 85.358 ; 85.122 ; 84.992 ;
População total;Casa Verde; 84.804 ; 84.552 ; 84.263 ; 83.880 ; 83.450 ; 82.998 ; 82.404 ; 81.620 ; 80.827 ; 80.147 ;
